"","X","city","date","nofcases","GZapproved","cumGZ","lnGZ","nofcases14","mobility","観測所","avg_temp","rainfall","SOE","datedum","lmobility","cumcases","pop","scaled_cases","scaled_cases14"
"170",170,"富士吉田市","2020-03-12",0,0,0,0,0,44824,"河口湖",5.1,0,0,"2020-03-12",10.7104989892451,0.118,48331,0,0
"171",171,"富士川町","2020-03-12",0,0,0,0,0,14035,"切石",8.5,0,0,"2020-03-12",9.54930948879598,0.036,14855,0,0
"172",172,"富士河口湖町","2020-03-12",0,0,0,0,0,33526,"河口湖",5.1,0,0,"2020-03-12",10.4200765361912,0.064,26562,0,0
"173",173,"小菅村","2020-03-12",0,0,0,0,0,NA,"勝沼",9.2,0,0,"2020-03-12",NA,0.002,715,0,0
"174",174,"山中湖村","2020-03-12",0,0,0,0,0,8703,"山中",3.3,0,0,"2020-03-12",9.07142307278951,0.014,5789,0,0
"175",175,"山梨市","2020-03-12",0,0,0,0,0,31742,"勝沼",9.2,0,0,"2020-03-12",10.3653960040675,0.084,34357,0,0
"176",176,"市川三郷町","2020-03-12",0,0,0,0,0,14309,"切石",8.5,0,0,"2020-03-12",9.56864398890674,0.038,15604,0,0
"177",177,"忍野村","2020-03-12",0,0,0,0,0,9895,"山中",3.3,0,0,"2020-03-12",9.19978485803667,0.024,9595,0,0
"178",178,"早川町","2020-03-12",0,0,0,0,0,1317,"切石",8.5,0,0,"2020-03-12",7.18311170174328,0.002,1018,0,0
"179",179,"昭和町","2020-03-12",0,0,0,0,0,31130,"甲府",10.6,0,0,"2020-03-12",10.3459272634357,0.05,20452,0,0
"180",180,"甲州市","2020-03-12",0,0,0,0,0,30135,"勝沼",9.2,0,0,"2020-03-12",10.3134425659171,0.076,30990,0,0
"181",181,"甲府市","2020-03-12",0,0,0,0,0,196683,"甲府",10.6,0,0,"2020-03-12",12.1893485746127,0.456,187171,0,0
