エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
群馬県全体,2020年7月第4週,和食,15.874961341
群馬県全体,2020年7月第4週,居酒屋・バー,-8.185936577
群馬県全体,2020年7月第4週,洋食・西洋料理,5.813186255
群馬県全体,2020年7月第4週,肉料理,9.765662363
群馬県全体,2020年7月第4週,鍋料理,19.218299712
群馬県全体,2020年7月第5週,アジア・エスニック,-12.233985670
群馬県全体,2020年7月第5週,カフェ・スイーツ,-23.471045378
群馬県全体,2020年7月第5週,すべて,-15.187858287
群馬県全体,2020年7月第5週,ファミレス・ファストフード,-7.365684575
群馬県全体,2020年7月第5週,中華,-6.840813302
群馬県全体,2020年7月第5週,和食,-11.756792679
群馬県全体,2020年7月第5週,居酒屋・バー,-25.306851149
群馬県全体,2020年7月第5週,洋食・西洋料理,-8.371410943
群馬県全体,2020年7月第5週,肉料理,-11.100282855
群馬県全体,2020年7月第5週,鍋料理,-7.301704967
群馬県全体,2020年8月第1週,アジア・エスニック,-24.295872195
群馬県全体,2020年8月第1週,カフェ・スイーツ,-13.561893508
群馬県全体,2020年8月第1週,すべて,-16.564180796
群馬県全体,2020年8月第1週,ファミレス・ファストフード,-3.794642857
群馬県全体,2020年8月第1週,中華,-21.939903585
群馬県全体,2020年8月第1週,和食,-11.705607220
群馬県全体,2020年8月第1週,居酒屋・バー,-32.282614114
群馬県全体,2020年8月第1週,洋食・西洋料理,-10.074428495
群馬県全体,2020年8月第1週,肉料理,-44.121224262
群馬県全体,2020年8月第1週,鍋料理,-3.966346154
群馬県全体,2020年8月第2週,アジア・エスニック,-39.932805376
群馬県全体,2020年8月第2週,カフェ・スイーツ,-33.743992316
群馬県全体,2020年8月第2週,すべて,-39.872590744
群馬県全体,2020年8月第2週,ファミレス・ファストフード,-31.522425774
群馬県全体,2020年8月第2週,中華,-44.897733554
群馬県全体,2020年8月第2週,和食,-41.365477904
群馬県全体,2020年8月第2週,居酒屋・バー,-49.823439059
群馬県全体,2020年8月第2週,洋食・西洋料理,-41.186405690
群馬県全体,2020年8月第2週,肉料理,-44.923698022
群馬県全体,2020年8月第2週,鍋料理,-36.136087485
群馬県全体,2020年8月第3週,アジア・エスニック,-26.868389110
群馬県全体,2020年8月第3週,カフェ・スイーツ,-9.053247037
群馬県全体,2020年8月第3週,すべて,-20.180909230
群馬県全体,2020年8月第3週,ファミレス・ファストフード,3.008849558
群馬県全体,2020年8月第3週,中華,-20.281999773
群馬県全体,2020年8月第3週,和食,-20.095875874
群馬県全体,2020年8月第3週,居酒屋・バー,-36.536793408
群馬県全体,2020年8月第3週,洋食・西洋料理,-24.405610763
群馬県全体,2020年8月第3週,肉料理,-29.589865593
群馬県全体,2020年8月第3週,鍋料理,-20.571086859
群馬県全体,2020年8月第4週,アジア・エスニック,-17.664509169
群馬県全体,2020年8月第4週,カフェ・スイーツ,5.176979165
群馬県全体,2020年8月第4週,すべて,-9.799688769
群馬県全体,2020年8月第4週,ファミレス・ファストフード,-13.127090301
群馬県全体,2020年8月第4週,中華,4.414322992
群馬県全体,2020年8月第4週,和食,-8.561191778
群馬県全体,2020年8月第4週,居酒屋・バー,-32.542354175
群馬県全体,2020年8月第4週,洋食・西洋料理,-15.191941392
群馬県全体,2020年8月第4週,肉料理,-20.602277660
群馬県全体,2020年8月第4週,鍋料理,-10.881238155
群馬県全体,2020年9月第1週,アジア・エスニック,-18.640703280
群馬県全体,2020年9月第1週,カフェ・スイーツ,-10.339876377
群馬県全体,2020年9月第1週,すべて,-17.650234050
群馬県全体,2020年9月第1週,ファミレス・ファストフード,-4.294478528
群馬県全体,2020年9月第1週,中華,-12.959226406
群馬県全体,2020年9月第1週,和食,-16.618122120
群馬県全体,2020年9月第1週,居酒屋・バー,-35.421368124
群馬県全体,2020年9月第1週,洋食・西洋料理,-18.340284941
