エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
栃木県全体,2020年6月第4週,和食,-13.284457653
栃木県全体,2020年6月第4週,居酒屋・バー,-32.473956696
栃木県全体,2020年6月第4週,洋食・西洋料理,-21.601415243
栃木県全体,2020年6月第4週,肉料理,-6.191708688
栃木県全体,2020年6月第4週,鍋料理,-28.751334045
栃木県全体,2020年7月第1週,アジア・エスニック,2.412577934
栃木県全体,2020年7月第1週,カフェ・スイーツ,-20.601840057
栃木県全体,2020年7月第1週,すべて,-20.700277526
栃木県全体,2020年7月第1週,ファミレス・ファストフード,-9.208561473
栃木県全体,2020年7月第1週,中華,-23.251195764
栃木県全体,2020年7月第1週,和食,-22.032807315
栃木県全体,2020年7月第1週,居酒屋・バー,-33.229710225
栃木県全体,2020年7月第1週,洋食・西洋料理,-20.900232366
栃木県全体,2020年7月第1週,肉料理,-3.598767512
栃木県全体,2020年7月第1週,鍋料理,-26.051591913
栃木県全体,2020年7月第2週,アジア・エスニック,-4.473728387
栃木県全体,2020年7月第2週,カフェ・スイーツ,-27.651974000
栃木県全体,2020年7月第2週,すべて,-23.925020530
栃木県全体,2020年7月第2週,ファミレス・ファストフード,-4.924623116
栃木県全体,2020年7月第2週,中華,-27.241366019
栃木県全体,2020年7月第2週,和食,-19.719561597
栃木県全体,2020年7月第2週,居酒屋・バー,-35.335037506
栃木県全体,2020年7月第2週,洋食・西洋料理,-24.030133099
栃木県全体,2020年7月第2週,肉料理,-15.356208955
栃木県全体,2020年7月第2週,鍋料理,-40.278035218
栃木県全体,2020年7月第3週,アジア・エスニック,2.470471554
栃木県全体,2020年7月第3週,カフェ・スイーツ,-18.463927269
栃木県全体,2020年7月第3週,すべて,-17.226416464
栃木県全体,2020年7月第3週,ファミレス・ファストフード,7.684210526
栃木県全体,2020年7月第3週,中華,-24.914142991
栃木県全体,2020年7月第3週,和食,-15.389994121
栃木県全体,2020年7月第3週,居酒屋・バー,-30.955347636
栃木県全体,2020年7月第3週,洋食・西洋料理,-18.545441182
栃木県全体,2020年7月第3週,肉料理,-3.362562505
栃木県全体,2020年7月第3週,鍋料理,-29.784102061
栃木県全体,2020年7月第4週,アジア・エスニック,26.891018962
栃木県全体,2020年7月第4週,カフェ・スイーツ,-4.306833870
栃木県全体,2020年7月第4週,すべて,-0.566943902
栃木県全体,2020年7月第4週,ファミレス・ファストフード,16.711882800
栃木県全体,2020年7月第4週,中華,1.010927100
栃木県全体,2020年7月第4週,和食,2.843594613
栃木県全体,2020年7月第4週,居酒屋・バー,-30.943303681
栃木県全体,2020年7月第4週,洋食・西洋料理,-4.291902751
栃木県全体,2020年7月第4週,肉料理,15.832477127
栃木県全体,2020年7月第4週,鍋料理,-23.233046800
栃木県全体,2020年7月第5週,アジア・エスニック,3.782277938
栃木県全体,2020年7月第5週,カフェ・スイーツ,-30.211313996
栃木県全体,2020年7月第5週,すべて,-26.733412644
栃木県全体,2020年7月第5週,ファミレス・ファストフード,-12.340842311
栃木県全体,2020年7月第5週,中華,-29.059046483
栃木県全体,2020年7月第5週,和食,-23.122227653
栃木県全体,2020年7月第5週,居酒屋・バー,-46.281996443
栃木県全体,2020年7月第5週,洋食・西洋料理,-28.553745496
栃木県全体,2020年7月第5週,肉料理,-20.280108314
栃木県全体,2020年7月第5週,鍋料理,-44.654661500
栃木県全体,2020年8月第1週,アジア・エスニック,11.638366223
栃木県全体,2020年8月第1週,カフェ・スイーツ,-15.058466114
