エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
静岡県全体,2020年9月第4週,和食,9.002142978
静岡県全体,2020年9月第4週,居酒屋・バー,-16.909822030
静岡県全体,2020年9月第4週,洋食・西洋料理,-6.342796000
静岡県全体,2020年9月第4週,肉料理,3.359129587
静岡県全体,2020年9月第4週,鍋料理,-10.651982379
静岡県全体,2020年10月第1週,アジア・エスニック,-16.715607513
静岡県全体,2020年10月第1週,カフェ・スイーツ,5.350717600
静岡県全体,2020年10月第1週,すべて,-3.928215744
静岡県全体,2020年10月第1週,ファミレス・ファストフード,-26.008601270
静岡県全体,2020年10月第1週,中華,-6.241706823
静岡県全体,2020年10月第1週,和食,-4.787319352
静岡県全体,2020年10月第1週,居酒屋・バー,-19.011870803
静岡県全体,2020年10月第1週,洋食・西洋料理,-6.241480814
静岡県全体,2020年10月第1週,肉料理,-3.167192093
静岡県全体,2020年10月第1週,鍋料理,-11.813213156
静岡県全体,2020年10月第2週,アジア・エスニック,15.098645465
静岡県全体,2020年10月第2週,カフェ・スイーツ,32.194626647
静岡県全体,2020年10月第2週,すべて,28.640662932
静岡県全体,2020年10月第2週,ファミレス・ファストフード,-13.781809020
静岡県全体,2020年10月第2週,中華,25.177130831
静岡県全体,2020年10月第2週,和食,33.116806469
静岡県全体,2020年10月第2週,居酒屋・バー,3.417348676
静岡県全体,2020年10月第2週,洋食・西洋料理,25.522415697
静岡県全体,2020年10月第2週,肉料理,24.228517437
静岡県全体,2020年10月第2週,鍋料理,11.278549564
静岡県全体,2020年10月第3週,アジア・エスニック,-11.321068381
静岡県全体,2020年10月第3週,カフェ・スイーツ,10.583058236
静岡県全体,2020年10月第3週,すべて,3.250927193
静岡県全体,2020年10月第3週,ファミレス・ファストフード,-28.297455969
静岡県全体,2020年10月第3週,中華,-8.497163214
静岡県全体,2020年10月第3週,和食,3.293397365
静岡県全体,2020年10月第3週,居酒屋・バー,-10.274427045
静岡県全体,2020年10月第3週,洋食・西洋料理,1.984026598
静岡県全体,2020年10月第3週,肉料理,0.091374037
静岡県全体,2020年10月第3週,鍋料理,-9.342206296
静岡県全体,2020年10月第4週,アジア・エスニック,-17.248710998
静岡県全体,2020年10月第4週,カフェ・スイーツ,3.671325053
静岡県全体,2020年10月第4週,すべて,-1.179363097
静岡県全体,2020年10月第4週,ファミレス・ファストフード,-34.530596731
静岡県全体,2020年10月第4週,中華,-14.812511660
静岡県全体,2020年10月第4週,和食,0.448955934
静岡県全体,2020年10月第4週,居酒屋・バー,-11.413376655
静岡県全体,2020年10月第4週,洋食・西洋料理,-4.915312290
静岡県全体,2020年10月第4週,肉料理,-6.281767696
静岡県全体,2020年10月第4週,鍋料理,-20.454373915
静岡県全体,2020年10月第5週,アジア・エスニック,-5.814584716
静岡県全体,2020年10月第5週,カフェ・スイーツ,5.027563187
静岡県全体,2020年10月第5週,すべて,-3.307058917
静岡県全体,2020年10月第5週,ファミレス・ファストフード,-25.147868652
静岡県全体,2020年10月第5週,中華,-13.787294697
静岡県全体,2020年10月第5週,和食,-4.916260440
静岡県全体,2020年10月第5週,居酒屋・バー,-17.419392052
静岡県全体,2020年10月第5週,洋食・西洋料理,-0.621474721
静岡県全体,2020年10月第5週,肉料理,-4.959042820
静岡県全体,2020年10月第5週,鍋料理,-26.806924928
静岡県全体,2020年11月第1週,アジア・エスニック,-18.168872950
静岡県全体,2020年11月第1週,カフェ・スイーツ,13.644450787
静岡県全体,2020年11月第1週,すべて,5.237437945
静岡県全体,2020年11月第1週,ファミレス・ファストフード,-16.148701810
静岡県全体,2020年11月第1週,中華,-8.118008443
静岡県全体,2020年11月第1週,和食,5.733926188
静岡県全体,2020年11月第1週,居酒屋・バー,-13.205540183
静岡県全体,2020年11月第1週,洋食・西洋料理,4.198510394
静岡県全体,2020年11月第1週,肉料理,3.772589699
静岡県全体,2020年11月第1週,鍋料理,-13.781284872
静岡県全体,2020年11月第2週,アジア・エスニック,-7.018346002
静岡県全体,2020年11月第2週,カフェ・スイーツ,-0.454125831
静岡県全体,2020年11月第2週,すべて,-5.641824899
静岡県全体,2020年11月第2週,ファミレス・ファストフード,-23.764992885
静岡県全体,2020年11月第2週,中華,-11.961097155
静岡県全体,2020年11月第2週,和食,-4.361724453
静岡県全体,2020年11月第2週,居酒屋・バー,-24.370256714
静岡県全体,2020年11月第2週,洋食・西洋料理,-8.150935066
静岡県全体,2020年11月第2週,肉料理,-8.365832027
静岡県全体,2020年11月第2週,鍋料理,-23.922430119
静岡県全体,2020年11月第3週,アジア・エスニック,-14.952522595
