エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
長野県全体,2020年10月第1週,居酒屋・バー,-26.248374897
長野県全体,2020年10月第1週,洋食・西洋料理,-9.798387929
長野県全体,2020年10月第1週,肉料理,-6.025021266
長野県全体,2020年10月第1週,鍋料理,-20.186031332
長野県全体,2020年10月第2週,アジア・エスニック,15.031315240
長野県全体,2020年10月第2週,カフェ・スイーツ,36.584066080
長野県全体,2020年10月第2週,すべて,23.816643704
長野県全体,2020年10月第2週,ファミレス・ファストフード,-3.982843137
長野県全体,2020年10月第2週,中華,14.778807256
長野県全体,2020年10月第2週,和食,14.531078770
長野県全体,2020年10月第2週,居酒屋・バー,-0.649694573
長野県全体,2020年10月第2週,洋食・西洋料理,32.140614015
長野県全体,2020年10月第2週,肉料理,27.581049910
長野県全体,2020年10月第2週,鍋料理,36.849344054
長野県全体,2020年10月第3週,アジア・エスニック,9.459972177
長野県全体,2020年10月第3週,カフェ・スイーツ,39.721737438
長野県全体,2020年10月第3週,すべて,27.043286307
長野県全体,2020年10月第3週,ファミレス・ファストフード,-8.676307008
長野県全体,2020年10月第3週,中華,5.394118671
長野県全体,2020年10月第3週,和食,20.960741188
長野県全体,2020年10月第3週,居酒屋・バー,9.929755649
長野県全体,2020年10月第3週,洋食・西洋料理,26.152353622
長野県全体,2020年10月第3週,肉料理,29.330860391
長野県全体,2020年10月第3週,鍋料理,20.568373663
長野県全体,2020年10月第4週,アジア・エスニック,-2.930718673
長野県全体,2020年10月第4週,カフェ・スイーツ,22.334804076
長野県全体,2020年10月第4週,すべて,11.172810570
長野県全体,2020年10月第4週,ファミレス・ファストフード,-10.981987217
長野県全体,2020年10月第4週,中華,-5.634007861
長野県全体,2020年10月第4週,和食,3.714757324
長野県全体,2020年10月第4週,居酒屋・バー,-5.941755262
長野県全体,2020年10月第4週,洋食・西洋料理,14.015595099
長野県全体,2020年10月第4週,肉料理,9.386153493
長野県全体,2020年10月第4週,鍋料理,-0.360803608
長野県全体,2020年10月第5週,アジア・エスニック,0.725240756
長野県全体,2020年10月第5週,カフェ・スイーツ,12.700202671
長野県全体,2020年10月第5週,すべて,3.677401997
長野県全体,2020年10月第5週,ファミレス・ファストフード,1.685772084
長野県全体,2020年10月第5週,中華,-10.429360244
長野県全体,2020年10月第5週,和食,-0.816084377
長野県全体,2020年10月第5週,居酒屋・バー,-13.861413267
長野県全体,2020年10月第5週,洋食・西洋料理,5.739594222
長野県全体,2020年10月第5週,肉料理,0.861830401
長野県全体,2020年10月第5週,鍋料理,-16.391509434
長野県全体,2020年11月第1週,アジア・エスニック,-9.161859518
長野県全体,2020年11月第1週,カフェ・スイーツ,21.625420741
長野県全体,2020年11月第1週,すべて,14.164731080
長野県全体,2020年11月第1週,ファミレス・ファストフード,6.599286564
長野県全体,2020年11月第1週,中華,-3.259757345
長野県全体,2020年11月第1週,和食,10.530025334
長野県全体,2020年11月第1週,居酒屋・バー,-3.653698111
長野県全体,2020年11月第1週,洋食・西洋料理,17.618895173
長野県全体,2020年11月第1週,肉料理,11.192586452
長野県全体,2020年11月第1週,鍋料理,-3.840048379
長野県全体,2020年11月第2週,アジア・エスニック,6.669105096
長野県全体,2020年11月第2週,カフェ・スイーツ,6.313916548
長野県全体,2020年11月第2週,すべて,1.197440255
長野県全体,2020年11月第2週,ファミレス・ファストフード,17.5625
長野県全体,2020年11月第2週,中華,-21.839751944
長野県全体,2020年11月第2週,和食,-1.723384184
長野県全体,2020年11月第2週,居酒屋・バー,-17.605115018
長野県全体,2020年11月第2週,洋食・西洋料理,1.933782382
長野県全体,2020年11月第2週,肉料理,4.457410069
長野県全体,2020年11月第2週,鍋料理,-11.809167187
長野県全体,2020年11月第3週,アジア・エスニック,-2.500906125
長野県全体,2020年11月第3週,カフェ・スイーツ,6.744716668
長野県全体,2020年11月第3週,すべて,-0.249151516
長野県全体,2020年11月第3週,ファミレス・ファストフード,-12.171052632
長野県全体,2020年11月第3週,中華,-10.559951309
長野県全体,2020年11月第3週,和食,-0.675759699
長野県全体,2020年11月第3週,居酒屋・バー,-24.594370861
長野県全体,2020年11月第3週,洋食・西洋料理,-2.344970556
長野県全体,2020年11月第3週,肉料理,0.767645752
長野県全体,2020年11月第3週,鍋料理,-21.518661519
長野県全体,2020年11月第4週,アジア・エスニック,-13.322552556
長野県全体,2020年11月第4週,カフェ・スイーツ,2.203214963
長野県全体,2020年11月第4週,すべて,-10.796363335
長野県全体,2020年11月第4週,ファミレス・ファストフード,14.675174014
長野県全体,2020年11月第4週,中華,-15.201912859
長野県全体,2020年11月第4週,和食,-8.086265135
長野県全体,2020年11月第4週,居酒屋・バー,-44.797683799
長野県全体,2020年11月第4週,洋食・西洋料理,-12.765992626
