エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
茨城県全体,2020年10月第4週,中華,-1.495804451
茨城県全体,2020年10月第4週,和食,-3.632557666
茨城県全体,2020年10月第4週,居酒屋・バー,-7.904461469
茨城県全体,2020年10月第4週,洋食・西洋料理,-3.842166645
茨城県全体,2020年10月第4週,肉料理,2.220592026
茨城県全体,2020年10月第4週,鍋料理,21.101115509
茨城県全体,2020年10月第5週,アジア・エスニック,-1.829983577
茨城県全体,2020年10月第5週,カフェ・スイーツ,-5.324373079
茨城県全体,2020年10月第5週,すべて,-7.260835187
茨城県全体,2020年10月第5週,ファミレス・ファストフード,4.978083907
茨城県全体,2020年10月第5週,中華,-11.919725753
茨城県全体,2020年10月第5週,和食,-8.587859527
茨城県全体,2020年10月第5週,居酒屋・バー,-17.075276828
茨城県全体,2020年10月第5週,洋食・西洋料理,-8.384767355
茨城県全体,2020年10月第5週,肉料理,-3.316614793
茨城県全体,2020年10月第5週,鍋料理,3.760445682
茨城県全体,2020年11月第1週,アジア・エスニック,-2.299015734
茨城県全体,2020年11月第1週,カフェ・スイーツ,-3.571584652
茨城県全体,2020年11月第1週,すべて,-1.861920108
茨城県全体,2020年11月第1週,ファミレス・ファストフード,7.408475065
茨城県全体,2020年11月第1週,中華,2.102768583
茨城県全体,2020年11月第1週,和食,-2.309305117
茨城県全体,2020年11月第1週,居酒屋・バー,-11.335607452
茨城県全体,2020年11月第1週,洋食・西洋料理,-5.855181668
茨城県全体,2020年11月第1週,肉料理,5.950022239
茨城県全体,2020年11月第1週,鍋料理,16.032164845
茨城県全体,2020年11月第2週,アジア・エスニック,5.083239050
茨城県全体,2020年11月第2週,カフェ・スイーツ,-12.505104736
茨城県全体,2020年11月第2週,すべて,-10.387973408
茨城県全体,2020年11月第2週,ファミレス・ファストフード,10.208396255
茨城県全体,2020年11月第2週,中華,1.528903949
茨城県全体,2020年11月第2週,和食,-9.930501188
茨城県全体,2020年11月第2週,居酒屋・バー,-23.311684217
茨城県全体,2020年11月第2週,洋食・西洋料理,-16.062650692
