エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
山梨県全体,2020年10月第4週,鍋料理,-4.694485842
山梨県全体,2020年10月第5週,アジア・エスニック,11.959521619
山梨県全体,2020年10月第5週,カフェ・スイーツ,15.177056538
山梨県全体,2020年10月第5週,すべて,6.105343834
山梨県全体,2020年10月第5週,ファミレス・ファストフード,18.75
山梨県全体,2020年10月第5週,中華,-14.440953129
山梨県全体,2020年10月第5週,和食,4.148829613
山梨県全体,2020年10月第5週,居酒屋・バー,-18.903268261
山梨県全体,2020年10月第5週,洋食・西洋料理,10.497354497
山梨県全体,2020年10月第5週,肉料理,3.693153914
山梨県全体,2020年10月第5週,鍋料理,-0.628930818
山梨県全体,2020年11月第1週,アジア・エスニック,-13.108614232
山梨県全体,2020年11月第1週,カフェ・スイーツ,24.255313176
山梨県全体,2020年11月第1週,すべて,15.863051434
山梨県全体,2020年11月第1週,ファミレス・ファストフード,43.469387755
山梨県全体,2020年11月第1週,中華,-12.068965517
山梨県全体,2020年11月第1週,和食,15.236590609
山梨県全体,2020年11月第1週,居酒屋・バー,-3.535941277
山梨県全体,2020年11月第1週,洋食・西洋料理,17.167060175
山梨県全体,2020年11月第1週,肉料理,19.655242758
山梨県全体,2020年11月第1週,鍋料理,26.554137505
山梨県全体,2020年11月第2週,アジア・エスニック,-17.094247907
山梨県全体,2020年11月第2週,カフェ・スイーツ,16.853428956
山梨県全体,2020年11月第2週,すべて,8.401415550
山梨県全体,2020年11月第2週,ファミレス・ファストフード,26.012793177
山梨県全体,2020年11月第2週,中華,-16.316793893
山梨県全体,2020年11月第2週,和食,12.517578923
山梨県全体,2020年11月第2週,居酒屋・バー,-23.431259430
山梨県全体,2020年11月第2週,洋食・西洋料理,2.300028830
山梨県全体,2020年11月第2週,肉料理,2.222447737
山梨県全体,2020年11月第2週,鍋料理,3.510531595
山梨県全体,2020年11月第3週,アジア・エスニック,-14.145779314
山梨県全体,2020年11月第3週,カフェ・スイーツ,26.979740667
山梨県全体,2020年11月第3週,すべて,18.373313728
