week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref,treat,avg_temp,avg_rain,infectious_l1,infectious_l2,sum_pop,pop_resid,tests,newcase_lead1,newcase_lead2,tests_lead1,tests_lead2,cumcases,susceptible,sales_per,customers_per
2020-09-21,2020年9月第4週,39,Yamanashi,2,0,0,58,337,3,25.288080485,4.713547732,-9.188205406,16.604016371,Yamanashi,65.94285714285715,5.607142857142857,9.63911254126177,20.41770601160406,886161,811000,225,12,3,252,197,182,810818,953379.4444444445,418.8333333333333
2020-09-28,2020年10月第1週,40,Gunma,29,0,0,0,0,29,-17.215681386,2.499408916,-0.355963162,-7.562359446,Neighboring_prefs,68.60428571428571,0,71.04352330746048,67.30474056748986,1984173,1942000,635,31,15,1011,957,728,1941272,570494.03,160.02
2020-09-28,2020年10月第1週,40,Ibaraki,38,0,0,0,0,28,-9.391010689,2.536393445,-1.739553082,-19.959218391,Neighboring_prefs,66.63714285714286,0,61.594222614018975,80.93810764963571,2867270,2860000,284,33,19,301,476,676,2859324,715816.27906976745,272.72093023255815
2020-09-28,2020年10月第1週,40,Nagano,8,0,0,0,0,8,-10.532286213,3.2729198,-3.544744826,-9.89142258,Neighboring_prefs,62.78,0.08928571428571429,22.804838205256893,26.39894301031449,2134819,2049000,746,7,6,740,988,313,2048687,591603.6764705882,320.3235294117647
2020-09-28,2020年10月第1週,40,Shizuoka,26,0,0,0,0,26,-3.928215744,3.145120913,-6.011244527,-22.64485155,Neighboring_prefs,71.5142857142857,0.0238095238095238,50.72155767117141,49.377921423943235,3733769,3644000,1984,8,12,1923,2203,558,3643442,546346.7155172414,249.22413793103448
2020-09-28,2020年10月第1週,40,Tochigi,10,0,0,0,0,11,-13.488279224,2.696504329,-5.076818058,-10.838092156,Neighboring_prefs,67.31857142857143,0,56.20129940724123,28.18010407493069,1978700,1934000,2892,8,21,2895,3012,436,1933564,717089.0172413794,357.5689655172414
2020-09-28,2020年10月第1週,40,Yamanashi,12,0,0,100,437,12,1.322564744,2.248008721,-2.23805764,-10.083248116,Yamanashi,63.93714285714286,0,22.14706560426555,23.808212682652695,854678,811000,252,3,2,197,222,194,810806,715983.0555555555,323.22222222222223
2020-10-05,2020年10月第2週,41,Gunma,31,0,0,0,0,33,12.950675255,1.233645349,2.821222349,-4.907878851,Neighboring_prefs,63.83428571428571,17.5,66.55583733101217,53.80436795317095,1979616,1942000,1011,15,93,957,2129,759,1941241,558847,158.1
2020-10-05,2020年10月第2週,41,Ibaraki,33,0,0,0,0,33,25.213952247,1.391757826,2.597176429,-13.290045579,Neighboring_prefs,63.885714285714286,16.238095238095237,80.49601529286002,63.055873285110216,2863171,2860000,301,19,13,476,139,709,2859291,672790.2558139535,252.02325581395348
2020-10-05,2020年10月第2週,41,Nagano,7,0,0,0,0,7,23.816643704,2.505732768,0.503177752,-5.958725051,Neighboring_prefs,59.59142857142857,14.875,24.557664077535332,22.587773199358704,2136609,2049000,740,6,8,988,1193,320,2048680,558862.7205882353,297.8382352941176
2020-10-05,2020年10月第2週,41,Shizuoka,8,0,0,0,0,9,28.640662932,1.970080097,-0.996168556,-19.646691964,Neighboring_prefs,67.79428571428572,24.595238095238095,47.56384307554833,34.122185752881435,3726429,3644000,1923,12,14,2203,2104,566,3643434,508625.5344827586,231.6293103448276
2020-10-05,2020年10月第2週,41,Tochigi,8,0,0,0,0,7,22.965849055,1.916975205,0.723842959,-7.261670665,Neighboring_prefs,63.12714285714286,14.285714285714286,27.079214323302743,37.70445323421355,1979277,1934000,2895,21,12,3012,3054,444,1933556,673666.051724138,325.8965517241379
