date,pref,sales,customers,avg_temp,avg_rain,newcase_day,total_case,newdeath_day,total_death,emergency,GZnew,cumGZ,newcaseday14,lsales,lcustomers,sales_per,customers_per,dummy_school_closure,dummy_gathering_restriction
2019-01-14,Nagano,5872198,3936,33.32,0,0,0,0,0,0,0,0,0,15.585739568054054,8.277920258172143,86355.85294117648,57.88235294117647,0,0
2019-01-14,Shizuoka,9472658,5157,45.2,0,0,0,0,0,0,0,0,0,16.063920101598548,8.548110294050959,81660.8448275862,44.456896551724135,0,0
2019-01-15,Ibaraki,6055331,2411,37.64,0,0,0,0,0,0,0,0,0,15.61644959904087,7.787796878181171,70410.82558139534,28.03488372093023,0,0
2019-01-15,Tochigi,3685767,2267,35.78,0,0,0,0,0,0,0,0,0,15.119989203059836,7.726212650507529,63547.706896551725,39.08620689655172,0,0
2019-01-15,Gunma,5827598,1968,36.68,0,0,0,0,0,0,0,0,0,15.578115466567464,7.584773077612199,58275.98,19.68,0,0
2019-01-15,Yamanashi,1064676,337,34.88,0,0,0,0,0,0,0,0,0,13.878181085487629,5.820082930352362,59148.666666666664,18.72222222222222,0,0
2019-01-15,Nagano,4215964,2557,36.32,0.5,0,0,0,0,0,0,0,0,15.254388830267448,7.846589975291186,61999.470588235294,37.60294117647059,0,0
2019-01-15,Shizuoka,7121328,2893,44.78,1.1666666666666667,0,0,0,0,0,0,0,0,15.778604782849985,7.970049304976135,61390.75862068965,24.939655172413794,0,0
2019-01-16,Ibaraki,8604566,3270,41.54,0,0,0,0,0,0,0,0,0,15.967803550562707,8.0925452638913,100053.09302325582,38.02325581395349,0,0
2019-01-16,Tochigi,5615198,2857,39.56,0,0,0,0,0,0,0,0,0,15.540987408222191,7.957527402230773,96813.75862068965,49.258620689655174,0,0
2019-01-16,Gunma,7893091,2338,41.27,0,0,0,0,0,0,0,0,0,15.88149837782717,7.757051142032013,78930.91,23.38,0,0
2019-01-16,Yamanashi,1704114,593,39.019999999999996,0,0,0,0,0,0,0,0,0,14.34855588554205,6.385194398997726,94673,32.94444444444444,0,0
2019-01-16,Nagano,4085860,2414,35.6,0,0,0,0,0,0,0,0,0,15.223042790434475,7.789040401657477,60086.17647058824,35.5,0,0
2019-01-16,Shizuoka,8310520,3737,47.24,0,0,0,0,0,0,0,0,0,15.933032740084474,8.226038429485484,71642.41379310345,32.21551724137931,0,0
2019-01-17,Ibaraki,8752769,3472,42.14,0,0,0,0,0,0,0,0,0,15.984880665414654,8.15248607578024,101776.38372093023,40.372093023255815,0,0
2019-01-17,Tochigi,5695500,2836,40.370000000000005,0,0,0,0,0,0,0,0,0,15.555186947322104,7.950149887652018,98198.27586206897,48.89655172413793,0,0
2019-01-17,Gunma,9064536,2644,41.45,0,0,0,0,0,0,0,0,0,16.01988021498129,7.880048200971577,90645.36,26.44,0,0
2019-01-17,Yamanashi,1454658,590,38.93,0,0,0,0,0,0,0,0,0,14.190281379412394,6.380122536899765,80814.33333333333,32.77777777777778,0,0
2019-01-17,Nagano,4032058,2480,33.38,0.3333333333333333,0,0,0,0,0,0,0,0,15.209787473550515,7.8160138391590275,59294.970588235294,36.470588235294116,0,0
2019-01-17,Shizuoka,8415931,3725,45.2,0,0,0,0,0,0,0,0,0,15.945637015256818,8.22282213081366,72551.12931034483,32.11206896551724,0,0
2019-01-18,Ibaraki,13857849,5036,40.16,0,0,0,0,0,0,0,0,0,16.444362344876875,8.524367395164237,161137.77906976745,58.55813953488372,0,0
2019-01-18,Tochigi,9366457,3741,39.38,0,0,0,0,0,0,0,0,0,16.052645461043696,8.227108234348146,161490.6379310345,64.5,0,0
2019-01-18,Gunma,15860906,4173,39.29,0,0,0,0,0,0,0,0,0,16.579367897381786,8.336390480591552,158609.06,41.73,0,0
2019-01-18,Yamanashi,2659703,839,38.57,0,0,0,0,0,0,0,0,0,14.793725020388756,6.732210706467206,147761.27777777778,46.611111111111114,0,0
2019-01-18,Nagano,7700071,3494,32,0,0,0,0,0,0,0,0,0,15.856740107560622,8.158802490694002,113236.33823529411,51.38235294117647,0,0
2019-01-18,Shizuoka,14509054,5513,43.76,0,0,0,0,0,0,0,0,0,16.490283426318726,8.614864218589684,125078.05172413793,47.525862068965516,0,0
2019-01-19,Ibaraki,17381520,6044,41.06,0,0,0,0,0,0,0,0,0,16.670918130824344,8.70682132339263,202110.6976744186,70.27906976744185,0,0
2019-01-19,Tochigi,13100414,6003,39.47,0,0,0,0,0,0,0,0,0,16.38815439072545,8.700014623251842,225869.2068965517,103.5,0,0
2019-01-19,Gunma,20329200,5424,41.27,0,0,0,0,0,0,0,0,0,16.827568834117038,8.598588829620232,203292,54.24,0,0
2019-01-19,Yamanashi,3474012,1094,35.6,0,0,0,0,0,0,0,0,0,15.060820680008655,6.9975959829819265,193000.66666666666,60.77777777777778,0,0
2019-01-19,Nagano,9295057,4944,32.06,0,0,0,0,0,0,0,0,0,16.04499331144809,8.505929999137527,136692.01470588235,72.70588235294117,0,0
2019-01-19,Shizuoka,20538495,8341,43.1,0,0,0,0,0,0,0,0,0,16.837811488115143,9.028938392241612,177055.99137931035,71.90517241379311,0,0
2019-01-20,Ibaraki,8794193,3837,42.38,0,0,0,0,0,0,0,0,0,15.989602175263963,8.252446090246952,102258.05813953489,44.616279069767444,0,0
2019-01-20,Tochigi,7569563,4552,40.46,0,0,0,0,0,0,0,0,0,15.83964589587413,8.423321975806166,130509.70689655172,78.48275862068965,0,0
