日付,時間帯,市区町村,平休日フラグ,都道府県,人流
2019/01/11,day,19384:昭和町,平日,19:山梨県,28771
2019/01/11,day,19368:富士川町,平日,19:山梨県,13535
2019/01/11,day,19366:南部町,平日,19:山梨県,7684
2019/01/11,day,19365:身延町,平日,19:山梨県,11800
2019/01/11,day,19364:早川町,平日,19:山梨県,1444
2019/01/11,day,19346:市川三郷町,平日,19:山梨県,12881
2019/01/11,day,19214:中央市,平日,19:山梨県,30464
2019/01/11,day,19213:甲州市,平日,19:山梨県,27511
2019/01/11,day,19212:上野原市,平日,19:山梨県,22541
2019/01/11,day,19211:笛吹市,平日,19:山梨県,69784
2019/01/11,day,19210:甲斐市,平日,19:山梨県,62588
2019/01/11,day,19209:北杜市,平日,19:山梨県,45819
2019/01/11,day,19208:南アルプス市,平日,19:山梨県,63409
2019/01/11,day,19207:韮崎市,平日,19:山梨県,34016
2019/01/11,day,19206:大月市,平日,19:山梨県,23180
2019/01/11,day,19205:山梨市,平日,19:山梨県,32912
2019/01/11,day,19204:都留市,平日,19:山梨県,29464
2019/01/11,day,19202:富士吉田市,平日,19:山梨県,48848
2019/01/11,day,19201:甲府市,平日,19:山梨県,208217
2019/01/12,day,19443:丹波山村,休日,19:山梨県,1175
2019/01/12,day,19442:小菅村,休日,19:山梨県,805
2019/01/12,day,19430:富士河口湖町,休日,19:山梨県,28241
2019/01/12,day,19429:鳴沢村,休日,19:山梨県,4929
2019/01/12,day,19425:山中湖村,休日,19:山梨県,9030
2019/01/12,day,19424:忍野村,休日,19:山梨県,7825
2019/01/12,day,19423:西桂町,休日,19:山梨県,3985
2019/01/12,day,19422:道志村,休日,19:山梨県,2245
2019/01/12,day,19384:昭和町,休日,19:山梨県,30945
2019/01/12,day,19368:富士川町,休日,19:山梨県,13971
2019/01/12,day,19366:南部町,休日,19:山梨県,8144
2019/01/12,day,19365:身延町,休日,19:山梨県,12736
2019/01/12,day,19364:早川町,休日,19:山梨県,1270
2019/01/12,day,19346:市川三郷町,休日,19:山梨県,13536
2019/01/12,day,19214:中央市,休日,19:山梨県,29396
2019/01/12,day,19213:甲州市,休日,19:山梨県,28926
2019/01/12,day,19212:上野原市,休日,19:山梨県,24130
2019/01/12,day,19211:笛吹市,休日,19:山梨県,75893
2019/01/12,day,19210:甲斐市,休日,19:山梨県,71396
2019/01/12,day,19209:北杜市,休日,19:山梨県,52275
2019/01/12,day,19208:南アルプス市,休日,19:山梨県,65690
2019/01/12,day,19207:韮崎市,休日,19:山梨県,29358
2019/01/12,day,19206:大月市,休日,19:山梨県,25200
2019/01/12,day,19205:山梨市,休日,19:山梨県,34145
2019/01/12,day,19204:都留市,休日,19:山梨県,29226
2019/01/12,day,19202:富士吉田市,休日,19:山梨県,50232
2019/01/12,day,19201:甲府市,休日,19:山梨県,192708
2019/01/13,day,19443:丹波山村,休日,19:山梨県,800
2019/01/13,day,19442:小菅村,休日,19:山梨県,931
2019/01/13,day,19430:富士河口湖町,休日,19:山梨県,33375
2019/01/13,day,19429:鳴沢村,休日,19:山梨県,7410
2019/01/13,day,19425:山中湖村,休日,19:山梨県,11223
2019/01/13,day,19424:忍野村,休日,19:山梨県,8077
2019/01/13,day,19423:西桂町,休日,19:山梨県,3185
2019/01/13,day,19422:道志村,休日,19:山梨県,1799
2019/01/13,day,19384:昭和町,休日,19:山梨県,28777
2019/01/13,day,19368:富士川町,休日,19:山梨県,14402
2019/01/13,day,19366:南部町,休日,19:山梨県,7710
2019/01/13,day,19365:身延町,休日,19:山梨県,14502
2019/01/13,day,19364:早川町,休日,19:山梨県,1252
2019/01/13,day,19346:市川三郷町,休日,19:山梨県,15647
2019/01/13,day,19214:中央市,休日,19:山梨県,29535
2019/01/13,day,19213:甲州市,休日,19:山梨県,29269
2019/01/13,day,19212:上野原市,休日,19:山梨県,25033
2019/01/13,day,19211:笛吹市,休日,19:山梨県,77825
2019/01/13,day,19210:甲斐市,休日,19:山梨県,70465
2019/01/13,day,19209:北杜市,休日,19:山梨県,53772
2019/01/13,day,19208:南アルプス市,休日,19:山梨県,65226
2019/01/13,day,19207:韮崎市,休日,19:山梨県,29749
2019/01/13,day,19206:大月市,休日,19:山梨県,26076
2019/01/13,day,19205:山梨市,休日,19:山梨県,34033
2019/01/13,day,19204:都留市,休日,19:山梨県,29092
2019/01/13,day,19202:富士吉田市,休日,19:山梨県,51805
2019/01/13,day,19201:甲府市,休日,19:山梨県,191224
2019/01/14,day,19443:丹波山村,休日,19:山梨県,912
2019/01/14,day,19442:小菅村,休日,19:山梨県,855
2019/01/14,day,19430:富士河口湖町,休日,19:山梨県,28890
2019/01/14,day,19429:鳴沢村,休日,19:山梨県,5438
2019/01/14,day,19425:山中湖村,休日,19:山梨県,9831
2019/01/14,day,19424:忍野村,休日,19:山梨県,7368
2019/01/14,day,19423:西桂町,休日,19:山梨県,4086
2019/01/14,day,19422:道志村,休日,19:山梨県,1559
2019/01/14,day,19384:昭和町,休日,19:山梨県,27742
2019/01/14,day,19368:富士川町,休日,19:山梨県,14166
2019/01/14,day,19366:南部町,休日,19:山梨県,8199
2019/01/14,day,19365:身延町,休日,19:山梨県,13109
2019/01/14,day,19364:早川町,休日,19:山梨県,1258
2019/01/14,day,19346:市川三郷町,休日,19:山梨県,13870
