Date_approval,city,N
2021-02-05,韮崎市,0
2021-02-05,北杜市,1
2021-02-05,富士吉田市,7
2021-02-05,南アルプス市,1
2021-02-05,上野原市,0
2021-02-05,鳴沢村,1
2021-02-05,昭和町,3
2021-02-05,都留市,2
2021-02-05,笛吹市,1
2021-02-05,市川三郷町,1
2021-02-05,山中湖村,0
2021-02-05,甲州市,2
2021-02-05,身延町,0
2021-02-05,大月市,0
2021-02-05,山梨市,0
2021-02-05,中央市,0
2021-02-05,富士川町,0
2021-02-05,甲斐市,5
2021-02-05,忍野村,0
2021-02-05,早川町,0
2021-02-05,南部町,0
2021-02-05,道志村,0
2021-02-05,小菅村,0
2021-02-05,西桂町,0
2021-02-05,丹波山村,0
2021-02-12,甲府市,38
2021-02-12,富士河口湖町,15
2021-02-12,韮崎市,2
2021-02-12,北杜市,6
2021-02-12,富士吉田市,34
2021-02-12,南アルプス市,3
2021-02-12,上野原市,1
2021-02-12,鳴沢村,0
2021-02-12,昭和町,11
2021-02-12,都留市,14
2021-02-12,笛吹市,7
2021-02-12,市川三郷町,1
2021-02-12,山中湖村,1
2021-02-12,甲州市,0
2021-02-12,身延町,0
2021-02-12,大月市,0
2021-02-12,山梨市,5
2021-02-12,中央市,0
2021-02-12,富士川町,1
2021-02-12,甲斐市,10
2021-02-12,忍野村,0
2021-02-12,早川町,0
2021-02-12,南部町,0
2021-02-12,道志村,1
2021-02-12,小菅村,1
2021-02-12,西桂町,1
2021-02-12,丹波山村,0
2021-02-19,甲府市,77
2021-02-19,富士河口湖町,7
2021-02-19,韮崎市,0
2021-02-19,北杜市,9
2021-02-19,富士吉田市,16
2021-02-19,南アルプス市,15
2021-02-19,上野原市,0
2021-02-19,鳴沢村,0
2021-02-19,昭和町,7
2021-02-19,都留市,1
2021-02-19,笛吹市,5
2021-02-19,市川三郷町,1
2021-02-19,山中湖村,2
2021-02-19,甲州市,5
2021-02-19,身延町,0
2021-02-19,大月市,4
2021-02-19,山梨市,3
2021-02-19,中央市,3
2021-02-19,富士川町,1
2021-02-19,甲斐市,7
2021-02-19,忍野村,0
2021-02-19,早川町,0
2021-02-19,南部町,0
2021-02-19,道志村,0
2021-02-19,小菅村,0
2021-02-19,西桂町,0
2021-02-19,丹波山村,0
2021-02-26,甲府市,44
2021-02-26,富士河口湖町,8
2021-02-26,韮崎市,9
2021-02-26,北杜市,1
2021-02-26,富士吉田市,21
2021-02-26,南アルプス市,8
2021-02-26,上野原市,0
2021-02-26,鳴沢村,0
2021-02-26,昭和町,20
2021-02-26,都留市,1
2021-02-26,笛吹市,12
2021-02-26,市川三郷町,1
2021-02-26,山中湖村,1
2021-02-26,甲州市,9
2021-02-26,身延町,0
2021-02-26,大月市,0
2021-02-26,山梨市,4
2021-02-26,中央市,7
2021-02-26,富士川町,2
2021-02-26,甲斐市,19
2021-02-26,忍野村,0
2021-02-26,早川町,0
2021-02-26,南部町,0
2021-02-26,道志村,1
2021-02-26,小菅村,0
2021-02-26,西桂町,0
2021-02-26,丹波山村,0
2021-03-05,甲府市,60
2021-03-05,富士河口湖町,13
2021-03-05,韮崎市,6
2021-03-05,北杜市,9
2021-03-05,富士吉田市,32
2021-03-05,南アルプス市,4
2021-03-05,上野原市,0
2021-03-05,鳴沢村,1
2021-03-05,昭和町,7
2021-03-05,都留市,1
2021-03-05,笛吹市,18
2021-03-05,市川三郷町,0
2021-03-05,山中湖村,0
2021-03-05,甲州市,8
2021-03-05,身延町,4
2021-03-05,大月市,6
2021-03-05,山梨市,8
2021-03-05,中央市,5
2021-03-05,富士川町,1
2021-03-05,甲斐市,4
2021-03-05,忍野村,0
2021-03-05,早川町,0
2021-03-05,南部町,0
2021-03-05,道志村,0
2021-03-05,小菅村,0
2021-03-05,西桂町,0
2021-03-05,丹波山村,0
2021-03-12,甲府市,57
2021-03-12,富士河口湖町,10
2021-03-12,韮崎市,4
2021-03-12,北杜市,8
2021-03-12,富士吉田市,19
2021-03-12,南アルプス市,6
2021-03-12,上野原市,3
2021-03-12,鳴沢村,0
2021-03-12,昭和町,10
2021-03-12,都留市,8
2021-03-12,笛吹市,24
2021-03-12,市川三郷町,2
2021-03-12,山中湖村,0
2021-03-12,甲州市,4
2021-03-12,身延町,0
2021-03-12,大月市,5
2021-03-12,山梨市,5
2021-03-12,中央市,5
2021-03-12,富士川町,3
2021-03-12,甲斐市,13
2021-03-12,忍野村,2
2021-03-12,早川町,0
2021-03-12,南部町,2
2021-03-12,道志村,1
2021-03-12,小菅村,0
2021-03-12,西桂町,1
2021-03-12,丹波山村,0
2021-03-19,甲府市,89
2021-03-19,富士河口湖町,2
2021-03-19,韮崎市,5
2021-03-19,北杜市,6
2021-03-19,富士吉田市,7
2021-03-19,南アルプス市,11
2021-03-19,上野原市,3
2021-03-19,鳴沢村,0
2021-03-19,昭和町,6
2021-03-19,都留市,10
2021-03-19,笛吹市,5
2021-03-19,市川三郷町,4
2021-03-19,山中湖村,4
2021-03-19,甲州市,8
2021-03-19,身延町,1
2021-03-19,大月市,9
2021-03-19,山梨市,3
2021-03-19,中央市,9
2021-03-19,富士川町,1
2021-03-19,甲斐市,8
2021-03-19,忍野村,1
2021-03-19,早川町,1
2021-03-19,南部町,0
2021-03-19,道志村,0
2021-03-19,小菅村,0
2021-03-19,西桂町,1
2021-03-19,丹波山村,0
2021-03-26,甲府市,71
2021-03-26,富士河口湖町,13
2021-03-26,韮崎市,7
2021-03-26,北杜市,10
2021-03-26,富士吉田市,32
2021-03-26,南アルプス市,1
2021-03-26,上野原市,0
2021-03-26,鳴沢村,1
2021-03-26,昭和町,8
2021-03-26,都留市,4
2021-03-26,笛吹市,22
2021-03-26,市川三郷町,0
2021-03-26,山中湖村,1
2021-03-26,甲州市,2
2021-03-26,身延町,3
2021-03-26,大月市,2
2021-03-26,山梨市,7
2021-03-26,中央市,5
2021-03-26,富士川町,0
2021-03-26,甲斐市,10
2021-03-26,忍野村,5
2021-03-26,早川町,0
2021-03-26,南部町,0
2021-03-26,道志村,0
2021-03-26,小菅村,0
2021-03-26,西桂町,0
2021-03-26,丹波山村,0
2021-04-02,甲府市,33
2021-04-02,富士河口湖町,9
2021-04-02,韮崎市,2
2021-04-02,北杜市,2
2021-04-02,富士吉田市,7
2021-04-02,南アルプス市,8
2021-04-02,上野原市,2
2021-04-02,鳴沢村,0
2021-04-02,昭和町,6
2021-04-02,都留市,4
2021-04-02,笛吹市,4
2021-04-02,市川三郷町,2
2021-04-02,山中湖村,0
2021-04-02,甲州市,1
2021-04-02,身延町,2
2021-04-02,大月市,1
2021-04-02,山梨市,5
2021-04-02,中央市,7
2021-04-02,富士川町,4
2021-04-02,甲斐市,7
