"","Date_approval","city","sum"
"525","2020-11-27","甲州市",4
"526","2020-11-27","中央市",5
"527","2020-11-27","市川三郷町",0
"528","2020-11-27","早川町",0
"529","2020-11-27","身延町",3
"530","2020-11-27","南部町",2
"531","2020-11-27","富士川町",1
"532","2020-11-27","昭和町",7
"533","2020-11-27","道志村",1
"534","2020-11-27","西桂町",0
"535","2020-11-27","忍野村",0
"536","2020-11-27","山中湖村",7
"537","2020-11-27","鳴沢村",2
"538","2020-11-27","富士河口湖町",21
"539","2020-11-27","小菅村",3
"540","2020-11-27","丹波山村",2
"541","2020-12-04","甲府市",35
"542","2020-12-04","富士吉田市",12
"543","2020-12-04","都留市",1
"544","2020-12-04","山梨市",1
"545","2020-12-04","大月市",2
"546","2020-12-04","韮崎市",5
"547","2020-12-04","南アルプス市",5
"548","2020-12-04","北杜市",10
"549","2020-12-04","甲斐市",9
"550","2020-12-04","笛吹市",5
"551","2020-12-04","上野原市",2
"552","2020-12-04","甲州市",6
"553","2020-12-04","中央市",4
"554","2020-12-04","市川三郷町",1
"555","2020-12-04","早川町",1
"556","2020-12-04","身延町",4
"557","2020-12-04","南部町",0
"558","2020-12-04","富士川町",4
"559","2020-12-04","昭和町",9
"560","2020-12-04","道志村",1
"561","2020-12-04","西桂町",0
"562","2020-12-04","忍野村",3
"563","2020-12-04","山中湖村",4
"564","2020-12-04","鳴沢村",1
"565","2020-12-04","富士河口湖町",12
"566","2020-12-04","小菅村",2
"567","2020-12-04","丹波山村",3
"568","2020-12-11","甲府市",19
"569","2020-12-11","富士吉田市",1
"570","2020-12-11","都留市",1
"571","2020-12-11","山梨市",1
"572","2020-12-11","大月市",1
"573","2020-12-11","韮崎市",3
"574","2020-12-11","南アルプス市",0
"575","2020-12-11","北杜市",5
"576","2020-12-11","甲斐市",1
"577","2020-12-11","笛吹市",4
"578","2020-12-11","上野原市",0
"579","2020-12-11","甲州市",1
"580","2020-12-11","中央市",2
"581","2020-12-11","市川三郷町",0
