代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
栃木県全体,すべての時間帯,2021年3月第1週,都道府県内,-9.345352667
栃木県全体,すべての時間帯,2021年3月第1週,都道府県外,-27.329672528
栃木県全体,すべての時間帯,2021年3月第2週,市区町村内,4.585356946
栃木県全体,すべての時間帯,2021年3月第2週,都道府県内,-9.981657452
栃木県全体,すべての時間帯,2021年3月第2週,都道府県外,-24.351566143
栃木県全体,すべての時間帯,2021年3月第3週,市区町村内,4.925147040
栃木県全体,すべての時間帯,2021年3月第3週,都道府県内,-11.002139288
栃木県全体,すべての時間帯,2021年3月第3週,都道府県外,-20.196889850
栃木県全体,すべての時間帯,2021年3月第4週,市区町村内,4.161466119
栃木県全体,すべての時間帯,2021年3月第4週,都道府県内,-6.614958072
栃木県全体,すべての時間帯,2021年3月第4週,都道府県外,-23.465264945
栃木県全体,すべての時間帯,2021年4月第1週,市区町村内,5.052096586
栃木県全体,すべての時間帯,2021年4月第1週,都道府県内,-7.813222178
栃木県全体,すべての時間帯,2021年4月第1週,都道府県外,-21.189112722
栃木県全体,すべての時間帯,2021年4月第2週,市区町村内,3.171088610
栃木県全体,すべての時間帯,2021年4月第2週,都道府県内,-6.081903390
栃木県全体,すべての時間帯,2021年4月第2週,都道府県外,-17.153571796
栃木県全体,すべての時間帯,2021年4月第3週,市区町村内,3.879638813
栃木県全体,すべての時間帯,2021年4月第3週,都道府県内,-6.987136621
栃木県全体,すべての時間帯,2021年4月第3週,都道府県外,-21.045269219
栃木県全体,すべての時間帯,2021年4月第4週,市区町村内,4.382039541
栃木県全体,すべての時間帯,2021年4月第4週,都道府県内,-5.306749513
栃木県全体,すべての時間帯,2021年4月第4週,都道府県外,-22.729182785
栃木県全体,すべての時間帯,2021年4月第5週,市区町村内,6.165171357
栃木県全体,すべての時間帯,2021年4月第5週,都道府県内,-12.965218305
栃木県全体,すべての時間帯,2021年4月第5週,都道府県外,-21.166077857
栃木県全体,すべての時間帯,2021年5月第1週,市区町村内,9.919394914
栃木県全体,すべての時間帯,2021年5月第1週,都道府県内,1.746536717
栃木県全体,すべての時間帯,2021年5月第1週,都道府県外,-57.674542417
栃木県全体,すべての時間帯,2021年5月第2週,市区町村内,4.366414685
栃木県全体,すべての時間帯,2021年5月第2週,都道府県内,-1.696755680
栃木県全体,すべての時間帯,2021年5月第2週,都道府県外,-31.295900823
栃木県全体,すべての時間帯,2021年5月第3週,市区町村内,6.887126606
栃木県全体,すべての時間帯,2021年5月第3週,都道府県内,-8.809971065
栃木県全体,すべての時間帯,2021年5月第3週,都道府県外,-34.788985943
栃木県全体,すべての時間帯,2021年5月第4週,市区町村内,6.845189203
栃木県全体,すべての時間帯,2021年5月第4週,都道府県内,-5.342477402
栃木県全体,すべての時間帯,2021年5月第4週,都道府県外,-33.039155205
栃木県全体,すべての時間帯,2021年6月第1週,市区町村内,6.410992037
栃木県全体,すべての時間帯,2021年6月第1週,都道府県内,-6.252579460
栃木県全体,すべての時間帯,2021年6月第1週,都道府県外,-34.432526885
栃木県全体,すべての時間帯,2021年6月第2週,市区町村内,5.625054885
栃木県全体,すべての時間帯,2021年6月第2週,都道府県内,-7.068525471
栃木県全体,すべての時間帯,2021年6月第2週,都道府県外,-29.143546995
栃木県全体,すべての時間帯,2021年6月第3週,市区町村内,6.084871199
栃木県全体,すべての時間帯,2021年6月第3週,都道府県内,-7.458842500
栃木県全体,すべての時間帯,2021年6月第3週,都道府県外,-32.284320668
栃木県全体,すべての時間帯,2021年6月第4週,市区町村内,5.856188332
栃木県全体,すべての時間帯,2021年6月第4週,都道府県内,-7.434762406
栃木県全体,すべての時間帯,2021年6月第4週,都道府県外,-32.482312588
栃木県全体,すべての時間帯,2021年7月第1週,市区町村内,6.038588126
栃木県全体,すべての時間帯,2021年7月第1週,都道府県内,-7.569323327
栃木県全体,すべての時間帯,2021年7月第1週,都道府県外,-32.599042369
栃木県全体,すべての時間帯,2021年7月第2週,市区町村内,3.645563287
栃木県全体,すべての時間帯,2021年7月第2週,都道府県内,-7.151410081
栃木県全体,すべての時間帯,2021年7月第2週,都道府県外,-20.255877050
栃木県全体,すべての時間帯,2021年7月第3週,市区町村内,4.040828409
栃木県全体,すべての時間帯,2021年7月第3週,都道府県内,-5.148808430
栃木県全体,すべての時間帯,2021年7月第3週,都道府県外,-24.504459986
栃木県全体,すべての時間帯,2021年7月第4週,市区町村内,2.114794928
栃木県全体,すべての時間帯,2021年7月第4週,都道府県内,-7.569857414
