pref,week,infectious_l1,infectious_l2,sum_pop,pop_resid
Shizuoka,2020-12-07,600.8882495531134,477.52284214697835,3742151,3644000
Shizuoka,2020-12-14,472.02208597700746,447.5260754017168,3739145,3644000
Shizuoka,2020-12-21,446.3081677959329,487.96594769725533,3741007,3644000
Shizuoka,2020-12-28,488.3043468959658,891.7698797143122,3802847,3644000
Shizuoka,2021-01-04,950.9362510240016,1291.7305998672946,3727333,3644000
Shizuoka,2021-01-11,1287.1606700368918,1067.9906482194247,3708530,3644000
Shizuoka,2021-01-18,992.7821863279737,762.9154343141262,3707121,3644000
Shizuoka,2021-01-25,748.8853606650622,521.895734501459,3709385,3644000
Shizuoka,2021-02-01,520.8248592460147,280.2500295582922,3706041,3644000
Shizuoka,2021-02-08,280.43670806648004,271.41357461319933,3732920,3644000
Shizuoka,2021-02-15,274.06530895182095,308.94689167323264,3738020,3644000
Shizuoka,2021-02-22,312.07168784952137,268.62644503300766,3736466,3644000
Shizuoka,2021-03-01,269.0936103282175,271.2577963507548,3726109,3644000
Shizuoka,2021-03-08,270.15825894761963,256.2328078919015,3731781,3644000
Shizuoka,2021-03-15,256.4233527056385,271.4761960007364,3742534,3644000
Shizuoka,2021-03-22,274.4182262019388,367.40796088860696,3749770,3644000
Shizuoka,2021-03-29,371.742802652813,368.7258046504025,3737247,3644000
Shizuoka,2021-04-05,370.29990305228023,391.7775682859395,3717358,3644000
Shizuoka,2021-04-12,383.7789376542259,425.5454146568627,3708819,3644000
Shizuoka,2021-04-19,414.54885566150756,462.937023418614,3719797,3644000
Shizuoka,2021-04-26,459.573606718691,590.0629299700338,3753242,3644000
Shizuoka,2021-05-03,603.4498356395229,1013.5821010233175,3781934,3644000
Shizuoka,2021-05-10,1036.0066304711206,1212.5180111489904,3712931,3644000
Shizuoka,2021-05-17,1197.1287934453387,970.9640338226832,3726843,3644000
Shizuoka,2021-05-24,946.7766785144902,740.970439935843,3727833,3644000
Shizuoka,2021-05-31,742.4327581683668,532.9059086080989,3725865,3644000
Shizuoka,2021-06-07,532.7865641481404,423.11906484296907,3733043,3644000
Shizuoka,2021-06-14,423.9499180609266,0,3725511,3644000
Tochigi,2019-12-30,0,0,2026802,1934000
Tochigi,2020-01-06,0,0,1965648,1934000
Tochigi,2020-01-13,0,0.00604002532630015,1964567,1934000
Tochigi,2020-01-20,0.003455405417815061,0.006150774747586622,1969341,1934000
Tochigi,2020-01-27,0.005824042926378702,0.005606963699882841,1963256,1934000
Tochigi,2020-02-03,0.005380401209164857,0.024666164328734804,1962623,1934000
Tochigi,2020-02-10,0.0263670634147143,1.0087384906526324,1967000,1934000
Tochigi,2020-02-17,1.0142038601352634,1.0300999542414029,1976637,1934000
Tochigi,2020-02-24,1.040267582532372,1.1287547653566863,1979996,1934000
Tochigi,2020-03-02,1.1262583022412629,1.3098930764577006,1977074,1934000
Tochigi,2020-03-09,1.2833762830811453,2.426116322699159,1984436,1934000
Tochigi,2020-03-16,2.426595865584128,10.772904669583658,2008292,1934000
Tochigi,2020-03-23,11.095358658847351,16.188804099586765,1985433,1934000
Tochigi,2020-03-30,15.737730949327322,28.86656309765646,1977722,1934000
Tochigi,2020-04-06,27.573460869557067,34.76279075637467,1978934,1934000
Tochigi,2020-04-13,33.88861346134595,23.022404594680673,1976893,1934000
Tochigi,2020-04-20,22.499348748289727,10.381274587520528,1976227,1934000
Tochigi,2020-04-27,10.187679548092065,3.2885966703823417,1975767,1934000
Tochigi,2020-05-04,3.2959058477879766,6.527250102310812,1972270,1934000
Tochigi,2020-05-11,6.52931852207085,8.144983240002594,1972121,1934000
Tochigi,2020-05-18,8.120592511281039,5.096016470459225,1976230,1934000
Tochigi,2020-05-25,5.089483239173409,2.1916416748605796,1973159,1934000
Tochigi,2020-06-01,2.202370103643663,1.2946863241058606,1970890,1934000
Tochigi,2020-06-08,1.3310651828663973,0.46894518478173897,1976843,1934000
Tochigi,2020-06-15,0.5019536542250616,8.608138616986531,1984353,1934000
Tochigi,2020-06-22,8.721331753996232,22.29068111305731,1990244,1934000
Tochigi,2020-06-29,22.474549922751436,24.253242025671423,1979597,1934000
Tochigi,2020-07-06,24.153988352253947,50.25734269495687,1973858,1934000
Tochigi,2020-07-13,49.90483526051168,72.5674405366228,1979978,1934000
Tochigi,2020-07-20,72.68516315192437,73.06729161703043,1997233,1934000
Tochigi,2020-07-27,75.49408927318633,94.7298751570671,1980791,1934000
Tochigi,2020-08-03,94.41429791161661,88.72724339992911,1986576,1934000
Tochigi,2020-08-10,87.80757809107592,54.073136603414135,2012398,1934000
Tochigi,2020-08-17,58.20321207235576,41.365572409442954,1987332,1934000
Tochigi,2020-08-24,41.29210120601298,32.863427886087145,1985525,1934000
Tochigi,2020-08-31,29.883074744828313,42.11369899884898,1975375,1934000
Tochigi,2020-09-07,41.37085202145469,81.95850549975266,1982773,1934000
Tochigi,2020-09-14,81.77445169998828,91.37163395836131,1994766,1934000
Tochigi,2020-09-21,92.36719871200742,55.10388287909046,2002683,1934000
Tochigi,2020-09-28,56.20129940724123,28.18010407493069,1978700,1934000
Tochigi,2020-10-05,27.079214323302743,37.70445323421355,1979277,1934000
Tochigi,2020-10-12,36.080337338284735,40.049372982351265,1987228,1934000
Tochigi,2020-10-19,40.7005710740799,32.408580024768185,1999539,1934000
Tochigi,2020-10-26,33.70745300133811,32.16986354100614,2003476,1934000
Tochigi,2020-11-02,32.52106597039982,44.044229298042424,2001904,1934000
Tochigi,2020-11-09,44.114217129809475,99.14292836494704,1991095,1934000
Tochigi,2020-11-16,98.37346329803741,146.4075407120954,1997633,1934000
Tochigi,2020-11-23,146.56978488766498,204.6705236947638,1988644,1934000
Tochigi,2020-11-30,203.88220753389544,263.370912090681,1976303,1934000
Tochigi,2020-12-07,258.7895471309188,297.5931316171328,1979053,1934000
Tochigi,2020-12-14,295.4286430933624,388.79373138781557,1975581,1934000
Tochigi,2020-12-21,387.91371973963777,657.6837107787953,1970973,1934000
Tochigi,2020-12-28,655.0664536325165,1286.2988258897037,1996302,1934000
Tochigi,2021-01-04,1301.772627861479,1538.9872698772954,1970835,1934000
Tochigi,2021-01-11,1537.0897788332848,1095.7290335946952,1962546,1934000
Tochigi,2021-01-18,1073.5295152871436,638.3027278088061,1960431,1934000
Tochigi,2021-01-25,633.4480486556446,346.99864256570737,1964835,1934000
Tochigi,2021-02-01,346.982096225065,207.73023662620542,1961457,1934000
Tochigi,2021-02-08,208.73324703785502,168.8395988496907,1973315,1934000
Tochigi,2021-02-15,169.85617764119073,143.24287636081567,1970496,1934000
Tochigi,2021-02-22,144.49610605102762,141.77195445138486,1973593,1934000
Tochigi,2021-03-01,142.13686651825287,202.270725629532,1971969,1934000
Tochigi,2021-03-08,202.37823697337447,265.742714511078,1976199,1934000
Tochigi,2021-03-15,266.0861165627905,273.4120594942579,1983230,1934000
Tochigi,2021-03-22,275.27043325507475,348.4366438907118,1987062,1934000
Tochigi,2021-03-29,349.71511079627794,398.48228786933754,1985355,1934000
Tochigi,2021-04-05,398.5429820534838,337.1887214424595,1970146,1934000
Tochigi,2021-04-12,335.02851700941295,332.5820949730498,1969223,1934000
Tochigi,2021-04-19,329.566472507603,368.62228185188866,1980182,1934000
Tochigi,2021-04-26,368.9697816148245,410.69194409805056,1996257,1934000
Tochigi,2021-05-03,417.8274694830958,489.7265571139632,2005652,1934000
Tochigi,2021-05-10,498.98633776544835,529.0923785479895,1970744,1934000
Tochigi,2021-05-17,523.4806782052827,511.8870746746852,1970774,1934000
Tochigi,2021-05-24,503.3326823710707,418.89431751473467,1982343,1934000
Tochigi,2021-05-31,420.5191507940764,351.455520598621,1977871,1934000
Tochigi,2021-06-07,352.12170458404563,310.97729063560337,1981543,1934000
Tochigi,2021-06-14,310.71824180034906,0,1973074,1934000
Yamanashi,2019-12-30,0,0,902209,811000
Yamanashi,2020-01-06,0,0,830888,811000
Yamanashi,2020-01-13,0,0.005866239671759667,832072,811000
Yamanashi,2020-01-20,0.003287891566499143,0.004671791819154412,829229,811000
Yamanashi,2020-01-27,0.004607179809025555,0.003336834867184097,834220,811000
Yamanashi,2020-02-03,0.0034030376278726105,0.02129237981238381,837237,811000
Yamanashi,2020-02-10,0.025126211211443542,0.05639526321554316,834391,811000
Yamanashi,2020-02-17,0.060102093856540376,0.07915892949395928,846463,811000
Yamanashi,2020-02-24,0.09010492775516359,2.0570827381198074,843426,811000
Yamanashi,2020-03-02,2.073345800199029,2.117274238966138,837422,811000
Yamanashi,2020-03-09,2.1054390729907864,0.2120994929048995,843208,811000
Yamanashi,2020-03-16,0.20552157996873852,2.582358886555564,864284,811000
Yamanashi,2020-03-23,2.9025676483982585,13.92561643101716,843544,811000
Yamanashi,2020-03-30,13.588574330831232,33.89856881943341,842342,811000
Yamanashi,2020-04-06,33.0846267451276,37.77790436657384,837744,811000
Yamanashi,2020-04-13,37.34611949688103,19.236124971529154,838280,811000
