"","週","week","city","population_inflow","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"151","202002_W1",2020-02-03,"早川町",1169,3.65735534638037e-06,3.20308244552407e-05,4.45366067618247e-13,2.44537713081289e-12
"152","202002_W1",2020-02-03,"昭和町",26417,0.000114625228026006,0.000422963453538758,2.24390141879658e-11,3.93139181445027e-11
"153","202002_W1",2020-02-03,"甲州市",30392,7.84937040245416e-05,0.000608966200123175,1.39968961428249e-11,5.1456692846298e-11
"154","202002_W1",2020-02-03,"甲府市",206816,0.000792050364658305,0.00399767327800988,1.64234068102348e-10,3.45098514629816e-10
"155","202002_W1",2020-02-03,"甲斐市",64895,0.000134460676265968,0.000668987548570877,2.63586848220997e-11,6.66210014683693e-11
"156","202002_W1",2020-02-03,"笛吹市",70759,0.000234594149464854,0.00202628782293213,3.45722386732089e-11,1.6266292610582e-10
"157","202002_W1",2020-02-03,"西桂町",3623,4.40789872884031e-06,4.20112156913909e-05,5.2737960186836e-13,3.49136416415019e-12
"158","202002_W1",2020-02-03,"身延町",13033,3.18657437268394e-05,0.000218502352092162,5.60799654137573e-12,1.96841700886227e-11
"159","202002_W1",2020-02-03,"道志村",1644,5.72443693436885e-06,9.96821748045481e-05,5.79803110508164e-13,8.04108352137099e-12
"160","202002_W1",2020-02-03,"都留市",30706,0.000161192546168476,0.000800340296291731,2.26030203693696e-11,7.34405012499594e-11
"161","202002_W1",2020-02-03,"韮崎市",32256,6.80218851328473e-05,0.000694075809876069,1.16457308770918e-11,5.40083487593680e-11
"162","202002_W1",2020-02-03,"鳴沢村",4142,7.24594929137201e-05,0.000538381504589078,1.0730285148726e-11,4.63980860021871e-11
"163","202002_W2",2020-02-10,"上野原市",23403,0.00221170012596006,0.00416997309857772,1.71468576815225e-10,4.13016560376904e-10
"164","202002_W2",2020-02-10,"中央市",30495,0.000393206187590823,0.000735899361020356,3.46119805987352e-11,6.90370734296156e-11
"165","202002_W2",2020-02-10,"丹波山村",498,0.000119645284939668,0.00020573788958269,1.01415181491712e-11,1.82087457537964e-11
"166","202002_W2",2020-02-10,"北杜市",48076,0.00231164136192016,0.00539074122014526,1.92703040583827e-10,5.20608197156387e-10
"167","202002_W2",2020-02-10,"南アルプス市",63399,0.000648135376027211,0.00120329020459131,5.18091057166636e-11,1.07532294222665e-10
"168","202002_W2",2020-02-10,"南部町",7299,8.88421619475649e-05,0.0004548642090613,1.11882814072817e-11,5.41164708730935e-11
"169","202002_W2",2020-02-10,"大月市",22664,0.00164679657474921,0.00474487387519619,1.38422356403018e-10,5.50167567049101e-10
"170","202002_W2",2020-02-10,"富士吉田市",48374,0.000952760921234324,0.00260155019086229,8.3045337611955e-11,2.82420342033408e-10
"171","202002_W2",2020-02-10,"富士川町",13651,4.53526998761371e-05,0.000157485271996341,3.70309206102827e-12,1.48503522402011e-11
"172","202002_W2",2020-02-10,"富士河口湖町",29376,0.00194101468670925,0.0042719263232075,2.11136046634988e-10,5.67471607053849e-10
"173","202002_W2",2020-02-10,"小菅村",653,1.47062995766892e-05,6.40277146438882e-05,1.11460034151096e-12,4.93303461214654e-12
"174","202002_W2",2020-02-10,"山中湖村",8439,0.00128843276446,0.00291607300123343,1.40373125657389e-10,3.92827630205861e-10
"175","202002_W2",2020-02-10,"山梨市",31879,0.000534249809243014,0.00134733133899304,4.61005673480171e-11,1.46705054255149e-10
"176","202002_W2",2020-02-10,"市川三郷町",14080,0.000167864522137547,0.000347281546993616,1.43418616001948e-11,3.19574968993828e-11
"177","202002_W2",2020-02-10,"忍野村",8507,0.000212557588885313,0.000727332438332426,1.86403775714109e-11,7.76929669199036e-11
"178","202002_W2",2020-02-10,"早川町",1177,0.000120050939891235,0.000131910206468883,8.95273000614612e-12,1.06870697055683e-11
"179","202002_W2",2020-02-10,"昭和町",27591,0.000424436016675142,0.00113598699910038,4.44153860513769e-11,1.15080702929878e-10
"180","202002_W2",2020-02-10,"甲州市",30139,0.000791316254326378,0.00150175806369145,6.4090601936668e-11,1.40602101437189e-10
"181","202002_W2",2020-02-10,"甲府市",202889,0.00483115727415678,0.0101124900950648,4.0681468872689e-10,1.09059269250298e-09
"182","202002_W2",2020-02-10,"甲斐市",65589,0.000757549889240888,0.00175170415845244,6.5926958395442e-11,1.98369169555517e-10
"183","202002_W2",2020-02-10,"笛吹市",70821,0.00266737850949337,0.00537165029590936,2.13288126497794e-10,5.18217260079774e-10
"184","202002_W2",2020-02-10,"西桂町",3345,3.799786062928e-05,9.99100436761453e-05,3.17882715188817e-12,9.54534390334546e-12
"185","202002_W2",2020-02-10,"身延町",13018,0.00039908929386607,0.000914366214126001,3.43549714125844e-11,9.28692918948444e-11
