週,都道府県,居住都道府県,sum_pop
202004_W1,19:山梨県,09:栃木県,509
202004_W1,19:山梨県,10:群馬県,725
202004_W1,19:山梨県,11:埼玉県,3437
202004_W1,19:山梨県,12:千葉県,2811
202004_W1,19:山梨県,13:東京都,12334
202004_W1,19:山梨県,14:神奈川県,8365
202004_W1,19:山梨県,15:新潟県,484
202004_W1,19:山梨県,16:富山県,142
202004_W1,19:山梨県,17:石川県,223
202004_W1,19:山梨県,18:福井県,44
202004_W1,19:山梨県,19:山梨県,796435
202004_W1,19:山梨県,20:長野県,4771
202004_W1,19:山梨県,21:岐阜県,429
202004_W1,19:山梨県,22:静岡県,4721
202004_W1,19:山梨県,23:愛知県,906
202004_W1,19:山梨県,24:三重県,92
202004_W1,19:山梨県,25:滋賀県,140
202004_W1,19:山梨県,26:京都府,117
202004_W1,19:山梨県,27:大阪府,376
202004_W1,19:山梨県,28:兵庫県,332
202004_W1,19:山梨県,29:奈良県,66
202004_W1,19:山梨県,30:和歌山県,2
