date,pref,NSHR,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
2020-01-04,佐賀県,-0.268728,0.027059,0.072254,0.043324,0.098047,0.075733,0.100795,0.135161,-0.09751,-0.029691,0.013947,0.0689,0.073925,0.114591,0.178244
2020-01-04,兵庫県,0.087102,0.18301,0.18147,0.110735,0.121807,0.107973,0.123786,0.145997,0.119279,0.071354,0.053642,0.090687,0.101087,0.128983,0.171449
2020-01-04,北海道,0.039946,0.123341,0.180698,0.142377,0.146045,0.162602,0.165008,0.157021,0.08601,0.043605,0.012972,0.053138,0.076694,0.113533,0.165616
2020-01-04,千葉県,0.092149,0.095186,0.173459,0.122434,0.095977,0.096997,0.09466,0.080162,0.04161,0.059396,0.042038,0.031655,0.067027,0.06786,0.069085
2020-01-04,和歌山県,-0.283792,0.012249,0.098341,0.078476,0.067692,0.071939,0.089575,0.125428,-0.101251,-0.115261,0.008212,0.001412,0.020533,0.085199,0.157411
2020-01-04,埼玉県,0.127503,0.153427,0.192581,0.145501,0.114967,0.127515,0.127034,0.082155,0.108487,0.07256,0.037337,0.052112,0.06985,0.069203,0.066304
2020-01-04,大分県,-0.066364,0.153448,0.10357,0.123553,0.052427,0.044918,0.065413,0.062187,-0.022364,-0.049679,-0.023684,0.020612,0.029134,0.072329,0.104502
2020-01-04,大阪府,0.191058,0.236299,0.208899,0.137853,0.118303,0.129138,0.139468,0.131854,0.115578,0.08495,0.057556,0.070267,0.095979,0.102907,0.13394
2020-01-04,奈良県,-0.083178,0.200589,0.098959,0.099638,0.073197,0.099624,0.128666,0.150641,0.067224,0.034714,0.024526,0.071828,0.07778,0.135223,0.110384
2020-01-04,宮城県,0.135157,0.163669,0.229813,0.139016,0.129596,0.149,0.130339,0.115648,0.14903,0.092676,0.058665,0.090913,0.091003,0.093963,0.076314
2020-01-04,宮崎県,-0.007565,0.105328,0.110612,0.066137,0.08051,0.058783,0.093183,0.054264,-0.020701,0.033413,0.023872,0.042951,0.042783,0.092845,0.052306
2020-01-04,富山県,-0.147463,0.133369,0.166,0.081998,0.115631,0.124373,0.121772,0.09896,0.110052,0.052717,-0.00953,0.046691,0.071998,0.140433,0.084264
2020-01-04,山口県,-0.027232,0.099551,0.165,0.105528,0.095004,0.107054,0.134943,0.109166,0.052698,-0.015101,0.016442,0.041818,0.068195,0.121517,0.13879
2020-01-04,山形県,-0.262369,0.252206,-0.001545,0.077001,0.062352,0.075422,0.166629,0.078935,0.08999,-0.071474,-0.035501,0.048704,0.048322,0.133352,0.192997
