"","公表日","city","Nofcases"
"447",2020-06-21,"忍野村",0.012
"448",2020-06-21,"早川町",0.001
"449",2020-06-21,"昭和町",1.025
"450",2020-06-21,"甲州市",0.038
"451",2020-06-21,"甲府市",0.228
"452",2020-06-21,"甲斐市",0.092
"453",2020-06-21,"笛吹市",0.084
"454",2020-06-21,"西桂町",0.005
"455",2020-06-21,"身延町",0.014
"456",2020-06-21,"道志村",0.002
"457",2020-06-21,"都留市",0.036
"458",2020-06-21,"韮崎市",0.035
"459",2020-06-21,"鳴沢村",0.004
"460",2020-06-28,"上野原市",0
"461",2020-06-28,"中央市",0.108
"462",2020-06-28,"丹波山村",0
"463",2020-06-28,"北杜市",0
"464",2020-06-28,"南アルプス市",0
"465",2020-06-28,"南部町",0
"466",2020-06-28,"大月市",0
"467",2020-06-28,"富士吉田市",0
"468",2020-06-28,"富士川町",0
"469",2020-06-28,"富士河口湖町",0
"470",2020-06-28,"小菅村",0
"471",2020-06-28,"山中湖村",0
"472",2020-06-28,"山梨市",0
"473",2020-06-28,"市川三郷町",0
"474",2020-06-28,"忍野村",0
"475",2020-06-28,"早川町",0
"476",2020-06-28,"昭和町",0
"477",2020-06-28,"甲州市",0
"478",2020-06-28,"甲府市",0.652
"479",2020-06-28,"甲斐市",0
"480",2020-06-28,"笛吹市",0.24
"481",2020-06-28,"西桂町",0
"482",2020-06-28,"身延町",0
"483",2020-06-28,"道志村",0
"484",2020-06-28,"都留市",0
"485",2020-06-28,"韮崎市",0
"486",2020-06-28,"鳴沢村",0
"487",2020-07-05,"上野原市",0
"488",2020-07-05,"中央市",0
"489",2020-07-05,"丹波山村",0
"490",2020-07-05,"北杜市",0
"491",2020-07-05,"南アルプス市",0
"492",2020-07-05,"南部町",0
"493",2020-07-05,"大月市",0
"494",2020-07-05,"富士吉田市",0
"495",2020-07-05,"富士川町",0
"496",2020-07-05,"富士河口湖町",0
"497",2020-07-05,"小菅村",0
"498",2020-07-05,"山中湖村",0
"499",2020-07-05,"山梨市",0
"500",2020-07-05,"市川三郷町",0
"501",2020-07-05,"忍野村",0
"502",2020-07-05,"早川町",0
"503",2020-07-05,"昭和町",0
"504",2020-07-05,"甲州市",0
"505",2020-07-05,"甲府市",1
"506",2020-07-05,"甲斐市",0
"507",2020-07-05,"笛吹市",0
"508",2020-07-05,"西桂町",0
"509",2020-07-05,"身延町",0
"510",2020-07-05,"道志村",0
"511",2020-07-05,"都留市",0
"512",2020-07-05,"韮崎市",0
"513",2020-07-05,"鳴沢村",0
"514",2020-07-12,"上野原市",0
"515",2020-07-12,"中央市",0
"516",2020-07-12,"丹波山村",0
"517",2020-07-12,"北杜市",0
"518",2020-07-12,"南アルプス市",0
"519",2020-07-12,"南部町",0
"520",2020-07-12,"大月市",0
