"","city","公表日","Nofcases","cum_cases"
"392","市川三郷町",2020-03-20,0,0.038
"393","早川町",2020-03-20,0,0.002
"394","身延町",2020-03-20,0,0.028
"395","南部町",2020-03-20,0,0.018
"396","富士川町",2020-03-20,0,0.036
"397","昭和町",2020-03-20,0,0.05
"398","道志村",2020-03-20,0,0.004
"399","西桂町",2020-03-20,0,0.01
"400","忍野村",2020-03-20,0,0.024
"401","山中湖村",2020-03-20,0,0.014
"402","鳴沢村",2020-03-20,0,0.008
"403","富士河口湖町",2020-03-20,0,0.064
"404","小菅村",2020-03-20,0,0.002
"405","丹波山村",2020-03-20,0,0.002
"406","甲府市",2020-03-21,0,0.456
"407","富士吉田市",2020-03-21,0,0.118
"408","都留市",2020-03-21,0,0.072
"409","山梨市",2020-03-21,0,0.084
"410","大月市",2020-03-21,0,0.058
"411","韮崎市",2020-03-21,0,0.07
"412","南アルプス市",2020-03-21,0,0.174
"413","北杜市",2020-03-21,0,0.112
"414","甲斐市",2020-03-21,0,0.184
"415","笛吹市",2020-03-21,0,0.168
"416","上野原市",2020-03-21,0,0.056
"417","甲州市",2020-03-21,0,0.076
"418","中央市",2020-03-21,0,0.076
"419","市川三郷町",2020-03-21,0,0.038
"420","早川町",2020-03-21,0,0.002
"421","身延町",2020-03-21,0,0.028
"422","南部町",2020-03-21,0,0.018
"423","富士川町",2020-03-21,0,0.036
"424","昭和町",2020-03-21,0,0.05
"425","道志村",2020-03-21,0,0.004
"426","西桂町",2020-03-21,0,0.01
"427","忍野村",2020-03-21,0,0.024
"428","山中湖村",2020-03-21,0,0.014
"429","鳴沢村",2020-03-21,0,0.008
"430","富士河口湖町",2020-03-21,0,0.064
"431","小菅村",2020-03-21,0,0.002
"432","丹波山村",2020-03-21,0,0.002
"433","甲府市",2020-03-22,0,0.456
"434","富士吉田市",2020-03-22,0,0.118
"435","都留市",2020-03-22,0,0.072
"436","山梨市",2020-03-22,0,0.084
"437","大月市",2020-03-22,0,0.058
"438","韮崎市",2020-03-22,0,0.07
"439","南アルプス市",2020-03-22,0,0.174
"440","北杜市",2020-03-22,0,0.112
"441","甲斐市",2020-03-22,0,0.184
"442","笛吹市",2020-03-22,0,0.168
"443","上野原市",2020-03-22,0,0.056
"444","甲州市",2020-03-22,0,0.076
"445","中央市",2020-03-22,0,0.076
"446","市川三郷町",2020-03-22,0,0.038
"447","早川町",2020-03-22,0,0.002
"448","身延町",2020-03-22,0,0.028
"449","南部町",2020-03-22,0,0.018
"450","富士川町",2020-03-22,0,0.036
"451","昭和町",2020-03-22,0,0.05
"452","道志村",2020-03-22,0,0.004
"453","西桂町",2020-03-22,0,0.01
"454","忍野村",2020-03-22,0,0.024
"455","山中湖村",2020-03-22,0,0.014
"456","鳴沢村",2020-03-22,0,0.008
"457","富士河口湖町",2020-03-22,0,0.064
"458","小菅村",2020-03-22,0,0.002
"459","丹波山村",2020-03-22,0,0.002
"460","甲府市",2020-03-23,0,0.456
"461","富士吉田市",2020-03-23,0,0.118
"462","都留市",2020-03-23,0,0.072
"463","山梨市",2020-03-23,0,0.084
"464","大月市",2020-03-23,0,0.058
"465","韮崎市",2020-03-23,0,0.07
"466","南アルプス市",2020-03-23,0,0.174
"467","北杜市",2020-03-23,0,0.112
"468","甲斐市",2020-03-23,0,0.184
"469","笛吹市",2020-03-23,0,0.168
"470","上野原市",2020-03-23,0,0.056
"471","甲州市",2020-03-23,0,0.076
"472","中央市",2020-03-23,0,0.076
"473","市川三郷町",2020-03-23,0,0.038
"474","早川町",2020-03-23,0,0.002
"475","身延町",2020-03-23,0,0.028
"476","南部町",2020-03-23,0,0.018
"477","富士川町",2020-03-23,0,0.036
"478","昭和町",2020-03-23,0,0.05
"479","道志村",2020-03-23,0,0.004
"480","西桂町",2020-03-23,0,0.01
"481","忍野村",2020-03-23,0,0.024
"482","山中湖村",2020-03-23,0,0.014
"483","鳴沢村",2020-03-23,0,0.008
"484","富士河口湖町",2020-03-23,0,0.064
"485","小菅村",2020-03-23,0,0.002
"486","丹波山村",2020-03-23,0,0.002
"487","甲府市",2020-03-24,0.455,0.911
"488","富士吉田市",2020-03-24,0.118,0.236
"489","都留市",2020-03-24,0.073,0.145
"490","山梨市",2020-03-24,0.084,0.168
"491","大月市",2020-03-24,0.057,0.115
"492","韮崎市",2020-03-24,0.071,0.141
"493","南アルプス市",2020-03-24,0.174,0.348
"494","北杜市",2020-03-24,0.113,0.225
"495","甲斐市",2020-03-24,0.184,0.368
"496","笛吹市",2020-03-24,0.168,0.336
"497","上野原市",2020-03-24,0.055,0.111
"498","甲州市",2020-03-24,0.075,0.151
"499","中央市",2020-03-24,0.075,0.151
"500","市川三郷町",2020-03-24,0.038,0.076
"501","早川町",2020-03-24,0.002,0.004
"502","身延町",2020-03-24,0.027,0.055
"503","南部町",2020-03-24,0.018,0.036
"504","富士川町",2020-03-24,0.036,0.072
"505","昭和町",2020-03-24,0.05,0.1
"506","道志村",2020-03-24,0.004,0.008
"507","西桂町",2020-03-24,0.01,0.02
"508","忍野村",2020-03-24,0.023,0.047
"509","山中湖村",2020-03-24,0.014,0.028
"510","鳴沢村",2020-03-24,0.008,0.016
"511","富士河口湖町",2020-03-24,0.065,0.129
"512","小菅村",2020-03-24,0.002,0.004
"513","丹波山村",2020-03-24,0.001,0.003
"514","甲府市",2020-03-25,0,0.911
"515","富士吉田市",2020-03-25,0,0.236
"516","都留市",2020-03-25,0,0.145
"517","山梨市",2020-03-25,0,0.168
"518","大月市",2020-03-25,0,0.115
"519","韮崎市",2020-03-25,0,0.141
"520","南アルプス市",2020-03-25,0,0.348
"521","北杜市",2020-03-25,0,0.225
"522","甲斐市",2020-03-25,0,0.368
"523","笛吹市",2020-03-25,0,0.336
"524","上野原市",2020-03-25,0,0.111
"525","甲州市",2020-03-25,0,0.151
"526","中央市",2020-03-25,0,0.151
"527","市川三郷町",2020-03-25,0,0.076
"528","早川町",2020-03-25,0,0.004
"529","身延町",2020-03-25,0,0.055
"530","南部町",2020-03-25,0,0.036
"531","富士川町",2020-03-25,0,0.072
"532","昭和町",2020-03-25,0,0.1
"533","道志村",2020-03-25,0,0.008
"534","西桂町",2020-03-25,0,0.02
"535","忍野村",2020-03-25,0,0.047
"536","山中湖村",2020-03-25,0,0.028
"537","鳴沢村",2020-03-25,0,0.016
"538","富士河口湖町",2020-03-25,0,0.129
"539","小菅村",2020-03-25,0,0.004
"540","丹波山村",2020-03-25,0,0.003
"541","甲府市",2020-03-26,0,0.911
"542","富士吉田市",2020-03-26,0,0.236
"543","都留市",2020-03-26,0,0.145
"544","山梨市",2020-03-26,0,0.168
"545","大月市",2020-03-26,0,0.115
"546","韮崎市",2020-03-26,0,0.141
"547","南アルプス市",2020-03-26,0,0.348
"548","北杜市",2020-03-26,0,0.225
"549","甲斐市",2020-03-26,0,0.368
"550","笛吹市",2020-03-26,0,0.336
"551","上野原市",2020-03-26,0,0.111
"552","甲州市",2020-03-26,0,0.151
"553","中央市",2020-03-26,0,0.151
"554","市川三郷町",2020-03-26,0,0.076
"555","早川町",2020-03-26,0,0.004
"556","身延町",2020-03-26,0,0.055
"557","南部町",2020-03-26,0,0.036
"558","富士川町",2020-03-26,0,0.072
"559","昭和町",2020-03-26,0,0.1
"560","道志村",2020-03-26,0,0.008
"561","西桂町",2020-03-26,0,0.02
"562","忍野村",2020-03-26,0,0.047
"563","山中湖村",2020-03-26,0,0.028
"564","鳴沢村",2020-03-26,0,0.016
"565","富士河口湖町",2020-03-26,0,0.129
"566","小菅村",2020-03-26,0,0.004
"567","丹波山村",2020-03-26,0,0.003
"568","甲府市",2020-03-27,0,0.911
"569","富士吉田市",2020-03-27,0,0.236
"570","都留市",2020-03-27,0,0.145
"571","山梨市",2020-03-27,0,0.168
"572","大月市",2020-03-27,0,0.115
"573","韮崎市",2020-03-27,0,0.141
"574","南アルプス市",2020-03-27,0,0.348
"575","北杜市",2020-03-27,0,0.225
"576","甲斐市",2020-03-27,0,0.368
"577","笛吹市",2020-03-27,0,0.336
"578","上野原市",2020-03-27,0,0.111
"579","甲州市",2020-03-27,0,0.151
"580","中央市",2020-03-27,0,0.151
"581","市川三郷町",2020-03-27,0,0.076
"582","早川町",2020-03-27,0,0.004
"583","身延町",2020-03-27,0,0.055
"584","南部町",2020-03-27,0,0.036
"585","富士川町",2020-03-27,0,0.072
"586","昭和町",2020-03-27,0,0.1
"587","道志村",2020-03-27,0,0.008
"588","西桂町",2020-03-27,0,0.02
"589","忍野村",2020-03-27,0,0.047
"590","山中湖村",2020-03-27,0,0.028
"591","鳴沢村",2020-03-27,0,0.016
"592","富士河口湖町",2020-03-27,0,0.129
"593","小菅村",2020-03-27,0,0.004
"594","丹波山村",2020-03-27,0,0.003
"595","甲府市",2020-03-28,0,0.911
"596","富士吉田市",2020-03-28,0,0.236
"597","都留市",2020-03-28,0,0.145
"598","山梨市",2020-03-28,0,0.168
"599","大月市",2020-03-28,0,0.115
"600","韮崎市",2020-03-28,0,0.141
"601","南アルプス市",2020-03-28,0,0.348
"602","北杜市",2020-03-28,0,0.225
"603","甲斐市",2020-03-28,0,0.368
"604","笛吹市",2020-03-28,0,0.336
"605","上野原市",2020-03-28,0,0.111
"606","甲州市",2020-03-28,0,0.151
"607","中央市",2020-03-28,0,0.151
"608","市川三郷町",2020-03-28,0,0.076
"609","早川町",2020-03-28,0,0.004
"610","身延町",2020-03-28,0,0.055
"611","南部町",2020-03-28,0,0.036
"612","富士川町",2020-03-28,0,0.072
"613","昭和町",2020-03-28,0,0.1
"614","道志村",2020-03-28,0,0.008
"615","西桂町",2020-03-28,0,0.02
"616","忍野村",2020-03-28,0,0.047
"617","山中湖村",2020-03-28,0,0.028
"618","鳴沢村",2020-03-28,0,0.016
"619","富士河口湖町",2020-03-28,0,0.129
"620","小菅村",2020-03-28,0,0.004
"621","丹波山村",2020-03-28,0,0.003
"622","甲府市",2020-03-29,0,0.911
"623","富士吉田市",2020-03-29,0,0.236
"624","都留市",2020-03-29,0,0.145
"625","山梨市",2020-03-29,0,0.168
"626","大月市",2020-03-29,0,0.115
"627","韮崎市",2020-03-29,0,0.141
"628","南アルプス市",2020-03-29,0,0.348
"629","北杜市",2020-03-29,0,0.225
"630","甲斐市",2020-03-29,0,0.368
"631","笛吹市",2020-03-29,0,0.336
"632","上野原市",2020-03-29,0,0.111
"633","甲州市",2020-03-29,0,0.151
"634","中央市",2020-03-29,0,0.151
"635","市川三郷町",2020-03-29,0,0.076
"636","早川町",2020-03-29,0,0.004
"637","身延町",2020-03-29,0,0.055
"638","南部町",2020-03-29,0,0.036
"639","富士川町",2020-03-29,0,0.072
"640","昭和町",2020-03-29,0,0.1
"641","道志村",2020-03-29,0,0.008
"642","西桂町",2020-03-29,0,0.02
"643","忍野村",2020-03-29,0,0.047
