date,type,customers
2020-06-04,counterfactual,22.78165101706877
2020-06-04,actual,24.5
2020-06-05,fitted,32.53129364499475
2020-06-05,counterfactual,32.53129364499525
2020-06-05,actual,30.61111111111111
2020-06-06,fitted,46.98855516114777
2020-06-06,counterfactual,46.98855516114821
2020-06-06,actual,48.5
2020-06-07,fitted,37.7996614814734
2020-06-07,counterfactual,37.79966148147351
2020-06-07,actual,39.611111111111114
2020-06-08,fitted,19.46738258747769
2020-06-08,counterfactual,19.467382587477776
2020-06-08,actual,23.5
2020-06-09,fitted,21.702397909801892
2020-06-09,counterfactual,21.7023979098022
2020-06-09,actual,18.055555555555557
2020-06-10,fitted,24.970942976910028
2020-06-10,counterfactual,24.97094297691046
2020-06-10,actual,22.555555555555557
2020-06-11,fitted,23.406628346293278
2020-06-11,counterfactual,23.406628346293516
2020-06-11,actual,24.88888888888889
2020-06-12,fitted,34.83701703943275
2020-06-12,counterfactual,34.837017039433185
2020-06-12,actual,32.111111111111114
2020-06-13,fitted,48.71622665840185
2020-06-13,counterfactual,48.71622665840103
2020-06-13,actual,50.111111111111114
2020-06-14,fitted,39.112996821665746
2020-06-14,counterfactual,39.112996821665156
2020-06-14,actual,41.27777777777778
2020-06-15,fitted,20.658012747457132
2020-06-15,counterfactual,20.658012747457416
2020-06-15,actual,23.22222222222222
2020-06-16,fitted,24.05598916958237
2020-06-16,counterfactual,24.055989169582574
2020-06-16,actual,24.833333333333332
2020-06-17,fitted,26.295504692449622
2020-06-17,counterfactual,26.295504692449843
2020-06-17,actual,28.27777777777778
2020-06-18,fitted,27.05796192351247
2020-06-18,counterfactual,27.057961923512675
2020-06-18,actual,28.833333333333332
2020-06-19,fitted,38.083776586564746
2020-06-19,counterfactual,38.083776586564106
2020-06-19,actual,33.27777777777778
2020-06-20,fitted,61.92334944947466
2020-06-20,counterfactual,61.92334944947653
2020-06-20,actual,66.16666666666667
2020-06-21,fitted,49.78714689847287
2020-06-21,counterfactual,49.78714689847165
2020-06-21,actual,65.33333333333333
2020-06-22,fitted,22.53843986758199
2020-06-22,counterfactual,22.53843986758223
2020-06-22,actual,31.11111111111111
2020-06-23,fitted,24.331476485663593
2020-06-23,counterfactual,24.331476485663917
2020-06-23,actual,25.11111111111111
2020-06-24,fitted,29.04965118716841
