"date","Sales","type","week"
2019-06-08,195807.968508868,"fitted",2019-06-03
2019-06-09,131448.555555556,"actual",2019-06-03
2019-06-09,86506.1660995797,"counterfactual",2019-06-03
2019-06-09,116631.211028946,"fitted",2019-06-03
2019-06-10,84001.0555555556,"actual",2019-06-10
2019-06-10,90639.9676012076,"counterfactual",2019-06-10
2019-06-10,68904.0731159286,"fitted",2019-06-10
2019-06-11,66844.6111111111,"actual",2019-06-10
2019-06-11,143031.799142665,"counterfactual",2019-06-10
2019-06-11,81111.8356025141,"fitted",2019-06-10
2019-06-12,100567.444444444,"actual",2019-06-10
2019-06-12,195807.96850887,"counterfactual",2019-06-10
2019-06-12,96368.5324468132,"fitted",2019-06-10
2019-06-13,103145.166666667,"actual",2019-06-10
2019-06-13,116631.211028947,"counterfactual",2019-06-10
2019-06-13,95139.707392425,"fitted",2019-06-10
2019-06-14,128959.777777778,"actual",2019-06-10
2019-06-14,68904.0731159296,"counterfactual",2019-06-10
2019-06-14,157351.857371233,"fitted",2019-06-10
2019-06-15,196741.222222222,"actual",2019-06-10
2019-06-15,81111.8356025144,"counterfactual",2019-06-10
2019-06-15,191046.644926644,"fitted",2019-06-10
2019-06-16,145779.055555556,"actual",2019-06-10
2019-06-16,96368.5324468139,"counterfactual",2019-06-10
2019-06-16,135214.793518901,"fitted",2019-06-10
2019-06-17,86419.9444444444,"actual",2019-06-17
2019-06-17,95139.7073924265,"counterfactual",2019-06-17
2019-06-17,72962.2071012094,"fitted",2019-06-17
2019-06-18,57778.1111111111,"actual",2019-06-17
2019-06-18,157351.857371237,"counterfactual",2019-06-17
2019-06-18,84060.6722530848,"fitted",2019-06-17
2019-06-19,93227.7222222222,"actual",2019-06-17
2019-06-19,191046.644926649,"counterfactual",2019-06-17
2019-06-19,98851.235467109,"fitted",2019-06-17
2019-06-20,126402.444444444,"actual",2019-06-17
2019-06-20,135214.793518901,"counterfactual",2019-06-17
2019-06-20,100529.635866531,"fitted",2019-06-17
2019-06-21,157697,"actual",2019-06-17
2019-06-21,72962.2071012099,"counterfactual",2019-06-17
2019-06-21,167957.418901812,"fitted",2019-06-17
2019-06-22,179717.555555556,"actual",2019-06-17
2019-06-22,84060.6722530862,"counterfactual",2019-06-17
2019-06-22,203636.766270915,"fitted",2019-06-17
2019-06-23,136484,"actual",2019-06-17
2019-06-23,98851.2354671104,"counterfactual",2019-06-17
2019-06-23,119992.888494922,"fitted",2019-06-17
2019-06-24,80125.3888888889,"actual",2019-06-24
2019-06-24,100529.635866531,"counterfactual",2019-06-24
